câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Giai đoạn đầu của viêm phổi thùy phổi là:,Giai đoạn gan hóa đỏ,Giai đoạn gan hóa xám,Giai đoạn xơ hóa,Giai đoạn sung huyết,d
"Trong giai đoạn gan hóa đỏ, phổi có đặc điểm gì?","Có màu xám, vách phế nang dày","Nhiều dịch xuất nhầy, không có hồng cầu","Đặc cứng, màu đỏ, chứa nhiều bạch cầu trung tính","Phổi phồng to, chứa không khí",c
Đặc điểm mô học của viêm phổi do virus là:,Tế bào Langhans,"Viêm mô kẽ, có tế bào khổng lồ và thể vùi trong bào tương",Hoại tử bã đậu,U hạt dạng kê,b
Viêm phổi thùy phổi thường xảy ra ở:,Trẻ sơ sinh,Người cao tuổi,"Một thùy phổi, thường là thùy trên",Cả hai bên phổi cùng lúc,c
Tổn thương trong viêm phổi virus thường khu trú ở:,Phế quản lớn,Mô kẽ phổi,Phế nang chứa mủ,Mạch máu phổi,b
Tổn thương đặc trưng trong lao phổi nguyên phát là:,Phức hợp Ghon,Hang lao,Xơ phổi,U hạt dạng kê,a
Tổn thương đặc trưng ở vi thể trong lao phổi thứ phát:,Tế bào khổng lồ đa nhân trung tính,"Tế bào Langhans, hoại tử bã đậu",Viêm phế nang,Phù phổi cấp,b
Hang lao hình thành do:,Viêm phế nang,Nang bã đậu vỡ vào phế nang,"Nang lao gặm vào phế quản, chất hoại tử được dẫn lưu ra ngoài",Sự tích tụ dịch trong phổi,c
Lao kê có đặc điểm đại thể:,Một khối lớn ở đỉnh phổi,Tổn thương dạng nốt to trên 1 cm,"Nhiều hạt kê vàng nhạt rải rác trong nhu mô phổi",Dịch mủ ở màng phổi,c
Tế bào Langhans đặc trưng bởi:,Hình đa giác với nhân trung tâm,Nhân xếp vòng quanh rìa tế bào,Nhân lớn bất thường,Có màu đỏ nhạt,b
Nguyên nhân thường gặp nhất của xẹp phổi tắc nghẽn là:,U mạch máu,Dị dạng phổi bẩm sinh,Ung thư phế quản,Tràn khí màng phổi,c
"Trong xẹp phổi tắc nghẽn, phổi bị:",Phồng to,Bị ép từ ngoài vào,Mất khí do tắc nghẽn lòng phế quản,Thoát dịch ra ngoài,c
Xẹp phổi chèn ép thường do:,Viêm phế quản,"Tràn dịch hoặc tràn khí màng phổi",Dị vật phế quản,Phù phổi cấp,b
Biểu hiện mô học của xẹp phổi lâu ngày:,Phế nang giãn,Dày vách phế nang và xơ hóa,Hoại tử,Tăng sinh biểu mô tuyến,b
Xẹp phổi chèn ép được hồi phục nếu:,Tình trạng kéo dài nhiều tháng,Loại bỏ nguyên nhân gây chèn ép sớm,Bổ sung thuốc giãn phế quản,Tiêm corticosteroid,b
Đặc điểm mô học của bệnh bụi phổi silic là:,U hạt không hoại tử,Vòng xơ hóa đồng tâm quanh hạt bụi,Viêm cấp tính,Xơ hóa dạng lưới không điển hình,b
"Trong bệnh phổi kẽ, vùng tổn thương chủ yếu là:",Phế quản chính,Khoang kẽ giữa các phế nang,Lòng phế nang,Động mạch phổi,b
Bệnh phổi mô kẽ quá mẫn thường do:,Viêm virus,Phản ứng miễn dịch do hít phải kháng nguyên hữu cơ,Vi khuẩn Gram âm,Ung thư phế quản,b
Hình ảnh vi thể đặc trưng trong bệnh bụi phổi amiăng:,Tế bào bọt,Thể vùi amiăng trong đại thực bào,Tế bào u biểu mô,Hang lao,b
