câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Ung thư vú là bệnh ung thư phổ biến nhất ở phụ nữ chiếm khoảng bao nhiêu phần trăm tổng số ca ung thư mới trên toàn cầu?,10%,15%,25%,40%,c
Yếu tố nguy cơ chính của ung thư vú là gì?,Nhiễm virus HPV,Tiếp xúc với tia UV,Đột biến BRCA1/BRCA2,Nhiễm vi khuẩn Helicobacter pylori,c
Đột biến BRCA1 và BRCA2 làm tăng nguy cơ mắc ung thư vú lên bao nhiêu lần so với dân số chung?,2–5 lần,5–10 lần,10–20 lần,Không liên quan đến nguy cơ ung thư vú,b
Yếu tố nào dưới đây có thể làm giảm nguy cơ ung thư vú?,Béo phì,Dùng liệu pháp hormone thay thế,Cho con bú,Tiền sử gia đình có người mắc ung thư vú,c
Yếu tố nào KHÔNG làm tăng nguy cơ ung thư vú?,Dậy thì sớm,Mãn kinh muộn,Tập thể dục thường xuyên,Tiền sử xạ trị vùng ngực,c
Dạng ung thư vú xâm lấn phổ biến nhất là gì?,Ung thư tiểu thùy xâm lấn,Ung thư thể nhầy,Ung thư ống tuyến xâm lấn,Ung thư dạng nội mạc,c
Ung thư vú dạng nào có tiên lượng tốt nhất?,Ung thư dạng tủy,Ung thư thể ống tuyến nhỏ,Ung thư thể nhầy,Ung thư vú ba âm tính,b
Độ mô học nào có tiên lượng xấu nhất trong ung thư vú?,Độ 1,Độ 2,Độ 3,Không liên quan đến tiên lượng,c
Loại ung thư vú nào có khuynh hướng lan rộng nhưng khó phát hiện trên hình ảnh học?,Ung thư ống tuyến xâm lấn,Ung thư tiểu thùy xâm lấn,Ung thư vú ba âm tính,Ung thư biểu mô nhầy,b
Dấu ấn phân tử nào liên quan đến tiên lượng tốt hơn trong ung thư vú?,HER2 dương tính,Ki-67 cao,POLE đột biến,p53 đột biến,c
Đột biến nào thường gặp trong ung thư vú di truyền?,TP53,PIK3CA,BRCA1/BRCA2,KRAS,c
Ung thư vú ba âm tính có đặc điểm gì?,"ER (+), PR (+), HER2 (+)","ER (-), PR (-), HER2 (-)","ER (+), PR (-), HER2 (-)","ER (-), PR (+), HER2 (+)",b
Phân nhóm phân tử nào của ung thư vú có tiên lượng tốt nhất?,Luminal A,Luminal B,HER2 dương tính,Triple-negative,a
HER2 khuếch đại có liên quan đến cơ chế nào trong ung thư vú?,Mất điều hòa chu kỳ tế bào,Tăng hoạt động tyrosine kinase,Giảm sửa chữa DNA,Ức chế miễn dịch,b
Ki-67 là chỉ số gì trong ung thư vú?,Tỷ lệ phân bào,Mức độ hoại tử,Đáp ứng miễn dịch,Đột biến gen,a
Triệu chứng sớm nhất thường gặp của ung thư vú là gì?,Đau vú,Chảy dịch núm vú,Khối u sờ thấy,Tụt núm vú,c
Chụp nhũ ảnh có giá trị nhất ở nhóm phụ nữ nào?,Dưới 30 tuổi,30-40 tuổi,Sau mãn kinh,Nam giới,c
Sinh thiết vú nào được ưu tiên để chẩn đoán mô bệnh học?,Chọc hút kim nhỏ (FNA),Sinh thiết kim lõi,Sinh thiết lỏng,Sinh thiết cắt bỏ,b
CA 15-3 là dấu ấn sinh học dùng để làm gì trong ung thư vú?,Sàng lọc sớm,Chẩn đoán xác định,Theo dõi tái phát,Đánh giá đáp ứng điều trị,c
Hệ thống phân giai đoạn nào được dùng trong ung thư vú?,FIGO,Ann Arbor,TNM,Dukes,c
Điều trị nào là nền tảng chính cho ung thư vú giai đoạn sớm?,Hóa trị,Xạ trị,Phẫu thuật,Liệu pháp miễn dịch,c
Phẫu thuật bảo tồn vú thường được chỉ định khi nào?,Giai đoạn IV,Giai đoạn sớm,Ung thư ba âm tính,Di căn xa,b
Thuốc nào là liệu pháp đích cho ung thư vú HER2 dương tính?,Tamoxifen,Trastuzumab,Letrozole,Bevacizumab,b
Ung thư vú ba âm tính có phác đồ điều trị nào hiệu quả nhất?,Hóa trị dựa trên anthracycline và taxane,Liệu pháp nội tiết,Liệu pháp kháng HER2,Xạ trị đơn thuần,a
Liệu pháp nội tiết nào được sử dụng cho ung thư vú ER dương tính?,Trastuzumab,Tamoxifen,Cisplatin,Paclitaxel,b
Ung thư vú giai đoạn nào có tiên lượng tốt nhất?,Giai đoạn I,Giai đoạn II,Giai đoạn III,Giai đoạn IV,a
Khi ung thư vú di căn xa cơ quan nào thường bị ảnh hưởng nhất?,Phổi,Xương,Não,Gan,b
Giai đoạn III của ung thư vú đặc trưng bởi điều gì?,Di căn xa,Xâm lấn da thành ngực hoặc hạch nách cố định,Giới hạn trong tuyến vú,Không xâm lấn hạch,b
Đặc điểm nào là dấu hiệu tiên lượng xấu trong ung thư vú?,ER dương tính,HER2 âm tính,Ki-67 cao (>20%),Kích thước u <2 cm,c
Ung thư vú ba âm tính có tiên lượng như thế nào so với các loại khác?,Tốt hơn,Trung bình,Xấu hơn,Không ảnh hưởng,c
Dấu ấn sinh học nào giúp đánh giá nguy cơ tái phát ung thư vú?,CA 15-3,AFP,PSA,CEA,a
