"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Câu 19. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho khan: ①","Giãn phế quản","Ho gà","Hen phế quản","Viêm thanh quản","a"
"Câu 20. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho khan: ①","Viêm thanh quản","Viêm họng","Suy tim","Áp-xe phổi","d"
"Câu 21. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm phổi","Giãn phế quản","Viêm phế quản","Hen phế quản","d"
"Câu 22. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm phổi","Ho gà","Viêm phế quản","Áp-xe phổi","b"
"Câu 23. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm phổi","Ho gà","Viêm phế quản","Áp-xe phổi","b"
"Câu 24. Trong các nguyên nhân sau đây, nguyên nhân nào không gây ho kèm khạc đàm: ①","Viêm thanh quản","Lao phổi","Viêm phế quản","Áp-xe phổi","a"
"Câu 25. Ho khan nhiều về đêm, gần sáng thường gặp trong bệnh lí nào sau đây: ①","Viêm phổi","Hen phế quản","Viêm phế quản","Giãn phế quản","b"
"Câu 26. Ho khan nhiều về đêm, gần sáng thường gặp trong bệnh lí nào sau đây: ①","Suy tim","Ung thư phổi","Viêm phế quản","Giãn phế quản","a"
"Câu 27. Ho khạc đàm 3 lớp là triệu chứng gặp trong bệnh lý nào sau đây: ①","Viêm phế quản mạn","Giãn phế quản","Bệnh phổi tắc nghẽn mạn tính","Viêm phổi","b"
"Câu 28. Trong bệnh lý giãn phế quản, đàm 3 lớp theo tứ tự nào sau đây là đúng: ①","Dịch nhầy, mủ, bọt","Mủ, bọt, dịch nhầy","Bọt, dịch nhầy, mủ","Dịch nhầy, bọt, mủ","c"
"Câu 29. Nhận định nào sau đây là đúng về triệu chứng ho gợi ý viêm phế quản mạn tính: ①","Ho về đêm kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","Ho khan kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","Ho khạc đàm kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","Ho ra máu kéo dài trên 3 tháng/năm trong 2 năm liên tiếp","c"
"Câu 43. Trong các nguyên nhân sau đây, đâu là nguyên nhân gây ho ra máu từ khí phế quản: ②","Dị vật đường thở","Thuyên tắc phổi","Lao phổi","Áp-xe phổi","a"
"Câu 44. Trong các nguyên nhân sau đây, đâu không phải là nguyên nhân gây ho ra máu từ nhu mô phổi: ②","Lao phổi","Viêm phổi","Thuyên tắc phổi","Bệnh bụi phổi","c"
"Câu 45. Trong các nguyên nhân sau đây, đâu không phải là nguyên nhân gây ho ra máu từ khí phế quản: ②","Dãn phế quản","U phế quản","Dị vật đường thở","Lao phổi","d"
"Câu 56. Trong các nhận định sau đây về khó thở, nhận định nào là chưa đúng: ②","Khó thở là thuật ngữ được dùng khi có bất thường về tần số thở, biên độ thở, nhịp thở","Là cảm giác được mô tả bằng trạng thái thở khó chịu, lo lắng khi thở","Khó thở là triệu chứng chủ quan, đôi khi khó lượng giá được","Có mối tương quan chặt chẽ giữa mức độ khó thở và bệnh lý nền","a"
"Câu 57. Trong các nhận định sau đây về khó thở, nhận định nào là chưa đúng: ②","Khó thở có thể xuất hiện khi gắng sức và khi nghỉ","Khó thở là thuật ngữ được dùng khi có bất thường về tần số thở, biên độ thở, nhịp thở","Khó thở là triệu chứng chủ quan, đôi khi khó lượng giá được","Là cảm giác được mô tả bằng trạng thái thở khó chịu, lo lắng khi thở","b"
"Câu 58. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Giảm sức cản đường thở","Căng phồng lồng ngực","Hạn chế động tác hít vào do đau","Nhu mô phổi không thể giãn nở trong thì hít vào","a"
"Câu 59. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Căng phồng lồng ngực","Hạn chế động tác hít vào do đau","Giảm áp lực trong khoang màng phổi","Xơ hóa màng phế nang-mao mạch","c"
"Câu 60. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Căng phồng lồng ngực","Tăng cường động tác hít vào do đau","Tăng áp lực trong khoang màng phổi","Nhu mô phổi không thể giãn nở trong thì hít vào","b"
"Câu 61. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Tăng sức cản đường thở","Giảm áp lực trong khoang màng phổi","Nhu mô phổi không thể giãn nở trong thì hít vào","Xơ hóa màng phế nang-mao mạch","b"
"Câu 62. Trong các rối loạn sau đây, rối loạn nào không liên quan đến cơ chế khó thở: ②","Hạn chế động tác hít vào do đau","Căng phồng lồng ngực","Giảm sức cản đường thở","Tăng áp lực trong khoang màng phổi","c"
"Câu 63. Những nguyên nhân nào sau đây là nguyên nhân khó thở mạn tính: ②","Viêm phổi","Thuyên tắc phổi","Tràn khí màng phổi","Bệnh phổi mô kẽ","d"
"Câu 64. Những nguyên nhân nào sau đây là nguyên nhân khó thở mạn tính: ②","Xuất huyết phổi","Thuyên tắc phổi","Bệnh phổi mô kẽ","Tràn khí màng phổi","c"
