"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Cơ chế chính gây khó thở trong suy tim là:","Giảm áp lực cuối tâm trương thất trái","Giảm áp lực mao mạch phổi","Tăng áp lực cuối tâm trương thất trái dẫn đến ứ máu ở mao mạch phổi","Giảm áp lực thủy tĩnh","Tăng áp lực cuối tâm trương thất trái dẫn đến ứ máu ở mao mạch phổi"
"Cơ chế khó thở khi gắng sức ở bệnh nhân suy tim là do:","Khi thất phải bơm máu lên phổi giảm dẫn đến giảm lượng máu được oxy hóa từ đó gây khó thở","Thoát dịch từ mao mạch vào mô kẽ gây phù mô kẽ dẫn đến cản trở sự trao đổi khí","Thoát dịch từ mao mạch vào phế nang làm giảm dung tích sống và khuếch tán khí","Cơ thể cần nhu cầu oxy cao hơn mà tim thì không đáp ứng nổi dẫn đến tình trạng thiếu oxy từ đó gây khó thở","Cơ thể cần nhu cầu oxy cao hơn mà tim thì không đáp ứng nổi dẫn đến tình trạng thiếu oxy từ đó gây khó thở"
"Cơ chế khó thở khi nằm ở bệnh nhân suy tim là do:","Thoát dịch từ mao mạch vào mô kẽ gây phù mô kẽ dẫn đến cản trở sự trao đổi khí","Thoát dịch từ mao mạch vào phế nang làm giảm dung tích sống và khuếch tán khí","Khi nằm đầu thấp thì lượng máu từ tim trở về phổi nhiều hơn nên làm tăng tình trạng xung huyết phổi","Cơ thể cần nhu cầu oxy cao hơn mà tim thì không đáp ứng nổi dẫn đến tình trạng thiếu oxy từ đó gây khó thở","Khi nằm đầu thấp thì lượng máu từ tim trở về phổi nhiều hơn nên làm tăng tình trạng xung huyết phổi"
"Cơ chế khó thở về đêm ở bệnh nhân suy tim là do:","Thoát dịch từ mao mạch vào mô kẽ gây phù mô kẽ dẫn đến cản trở sự trao đổi khí","Thoát dịch từ mao mạch vào phế nang làm giảm dung tích sống và khuếch tán khí","Khi nằm đầu thấp thì lượng máu từ tim trở về phổi nhiều hơn nên làm tăng tình trạng xung huyết phổi","Thần kinh phó giao cảm sẽ hoạt động mạnh về đêm sẽ giảm cung lượng tim do giảm tần số tim từ đó gây ứ máu phổi tăng","Thần kinh phó giao cảm sẽ hoạt động mạnh về đêm sẽ giảm cung lượng tim do giảm tần số tim từ đó gây ứ máu phổi tăng"
"Khó thở trong suy tim xảy ra khi bệnh nhân nằm, chọn câu SAI:","Khó thở sẽ hết hoặc giảm khi bệnh nhân ngồi dậy","Bệnh nhân hết khó thở khi kê chân lên cao","Bệnh nhân phải nằm đầu cao","Bệnh nhân nặng thường ngủ ngồi","Bệnh nhân hết khó thở khi kê chân lên cao"
"Nguyên nhân gây ngất do tim, chọn câu SAI:","Rối loạn nhịp","Hẹp van động mạch chủ","Bệnh cơ tim phì đại","Hở van 2 lá","Hở van 2 lá"
"Tím trung ương thường gặp ở vị trí nào:","Đầu chi","Vành tai","Lưỡi","Môi","Lưỡi"
"Tím ngoại biên thường gặp ở vị trí nào, chọn câu SAI:","Đầu chi","Vành tai","Lưỡi","Môi","Lưỡi"
"Phù trong suy tim, chọn câu SAI:","Phù mềm","Ấn lõm","Phù 2 chi dưới","Không đối xứng","Không đối xứng"
"Tính chất đau ngực trong đau thắt ngực điển hình kiểu mạch vành:","Đau như dao đâm","Đau nhói","Đè nặng","Đau rát","Đè nặng"
"Yếu tố làm tăng cơn đau trong đau thắt ngực điển hình kiểu mạch vành, chọn câu SAI:","Gắng sức","Xúc cảm","Nghỉ ngơi","Thời tiết lạnh","Nghỉ ngơi"
"Yếu tố làm giảm đau trong đau thắt ngực điển hình kiểu mạch vành, chọn câu SAI:","Nghỉ ngơi","Ngậm Nitroglycerin","Thuốc giãn mạch vành","Thuốc giảm đau","Thuốc giảm đau"
"Vị trí đau ngực trong nhồi máu cơ tim cấp thành dưới thường gặp:","Hạ sườn trái","Sau xương ức","Ngực trái","Thượng vị","Thượng vị"
"Hướng lan trong đau ngực điển hình kiểu mạch vành, chọn câu SAI:","Vai","Cằm","Tay trái","Chân","Chân"
"Sờ mỏm tim để xác định:","Vị trí mỏm tim","Tính chất mỏm tim","Dấu hiệu Harzer","Tất cả đúng","Tất cả đúng"
"Mỏm tim đập bình thường ở:","Liên sườn 4 đường trung đòn phải","Liên sườn 4-5 đường trung đòn trái","Liên sườn 5 đường nách trước trái","Liên sườn 5 đường nách giữa trái","Liên sườn 4-5 đường trung đòn trái"
"Sờ có thể phát hiện diện đập bất thường của tim ở vị trí nào, chọn câu SAI:","Liên sườn 2 cạnh ức phải","Liên sườn 2 cạnh ức trái","Liên sườn 3-4 cạnh ức trái","Liên sườn 5-6 cạnh ức phải","Liên sườn 5-6 cạnh ức phải"
"Nghe tim tiếng T1 là do:","Van động mạch chủ và van động mạch phổi đóng lại","Van 2 lá và van 3 lá mở ra","Van 2 lá và van 3 lá đóng lại","Van động mạch chủ và van động mạch phổi mở ra","Van 2 lá và van 3 lá đóng lại"
"Nghe tim tiếng T2 là do:","Van động mạch chủ và van động mạch phổi đóng lại","Van 2 lá và van 3 lá mở ra","Van 2 lá và van 3 lá đóng lại","Van động mạch chủ và van động mạch phổi mở ra","Van động mạch chủ và van động mạch phổi đóng lại"
"Nghe tim tiếng T3 còn gọi là tiếng ngựa phi tâm trương, chọn câu SAI:","Do máu đổ đầy thất nhanh vào 1 thất đã giãn","Là dấu hiệu của suy tim","Nghe rõ bằng màng ống nghe","Nghe ở mỏm tim, tư thế nằm nghiêng trái","Nghe rõ bằng màng ống nghe"
"Nghe tim tiếng T4 còn gọi là tiếng ngựa phi tâm thu, chọn câu SAI:","Do nhĩ co bóp","Nghe ở cuối tâm trương","Do máu tống vào 1 thất không giãn được","Nghe rõ bằng màng ống nghe","Nghe rõ bằng màng ống nghe"
"Nghe tim tiếng click tống máu, chọn câu SAI:","Nghe ở đầu thì tâm thu","Gặp trong hẹp van động mạch chủ","Gặp trong hẹp van 2 lá","Gặp trong hẹp van động mạch phổi","Gặp trong hẹp van 2 lá"
"Nghe tim tiếng clac mở van 2 lá, chọn câu SAI:","Nghe ở đầu thì tâm trương","Gặp trong hẹp van 2 lá","Nghe rõ bằng màng ống nghe","Nghe rõ ở mỏm","Nghe rõ bằng màng ống nghe"
"Rung miu là:","Cảm giác sờ thấy bằng đầu ngón tay","Cảm giác sờ thấy bằng lòng bàn tay","Cảm giác sờ thấy bằng cả bàn tay","Cảm giác sờ thấy khi áp tai vào","Cảm giác sờ thấy bằng lòng bàn tay"
"Rung miu trong hẹp van 2 lá, chọn câu SAI:","Vị trí ở mỏm tim","Thì tâm trương","Nghe rõ khi ngồi","Giống như sờ lưng mèo","Nghe rõ khi ngồi"
"Tiếng thổi tâm thu xảy ra khi:","Giữa tiếng T2 và tiếng T1","Giữa tiếng T1 và tiếng T2","Cuối tiếng T2 và đầu tiếng T1","Đầu tiếng T1 và cuối tiếng T2","Giữa tiếng T1 và tiếng T2"
"Tiếng thổi tâm trương xảy ra khi:","Giữa tiếng T2 và tiếng T1","Giữa tiếng T1 và tiếng T2","Cuối tiếng T2 và đầu tiếng T1","Đầu tiếng T1 và cuối tiếng T2","Giữa tiếng T2 và tiếng T1"
"Nghe tim hẹp van 2 lá, chọn câu SAI:","Vị trí liên sườn 4-5 đường trung đòn trái","Tiếng thổi tiền tâm thu","Rung tâm trương","Nghe rõ khi bệnh nhân ngồi","Nghe rõ khi bệnh nhân ngồi"
"Nghe tim hở van động mạch chủ, chọn câu SAI:","Vị trí liên sườn 3 cạnh ức trái","Tiếng thổi tâm trương","Nghe rõ khi ngồi cúi ra trước","Thổi lan ra nách","Thổi lan ra nách"
"Nghe tim hẹp van động mạch chủ, chọn câu SAI:","Vị trí liên sườn 2 cạnh ức phải","Tiếng thổi tâm thu","Thổi lan lên cổ","Nghe rõ khi bệnh nhân nằm nghiêng trái","Nghe rõ khi bệnh nhân nằm nghiêng trái"
"Tiếng rung Flint là:","Rung tâm trương trong hẹp van 2 lá","Thổi tâm trương trong hở van động mạch chủ","Rung tâm trương trong hẹp van 3 lá","Rung tâm trương trong hở van động mạch chủ","Rung tâm trương trong hở van động mạch chủ"
"Nghe tim hở van 2 lá, chọn câu SAI:","Vị trí liên sườn 4,5 đường trung đòn trái","Tiếng thổi tâm thu","Nghe rõ bằng phần màng","Lan ra nách hoặc xương ức","Nghe rõ bằng phần màng"
"Cường độ tiếng thổi 2/6:","Không thay đổi cường độ khi thay đổi tư thế","Cường độ nhẹ","Sờ có rung miu","Là tiếng thổi thực thể","Cường độ nhẹ"
"Cường độ tiếng thổi 3/6:","Không thay đổi cường độ khi thay đổi tư thế","Cường độ nhẹ","Sờ có rung miu","Là tiếng thổi cơ năng","Không thay đổi cường độ khi thay đổi tư thế"
"Cường độ tiếng thổi 4/6:","Không thay đổi cường độ khi thay đổi tư thế","Tiếng thổi mạnh có rung miu","Là tiếng thổi cơ năng","Tiếng thổi nhẹ","Tiếng thổi mạnh có rung miu"
"Cường độ tiếng thổi 6/6:","Nghe được âm thổi khi nhấc ống nghe lên 1 phần","Nghe được âm thổi gián tiếp qua bàn tay thầy thuốc","Có rung miu nhưng nhấc ống nghe khỏi thành ngực thì không nghe nữa","Nghe được âm thổi khi nhấc ống nghe khỏi thành ngực","Nghe được âm thổi khi nhấc ống nghe khỏi thành ngực"
"Tiếng thổi cơ năng sinh ra do:","Tổn thương thực thể tại van tim","Sự thay đổi về huyết động","Tổn thương tại cơ tim","Tổn thương vách liên thất","Sự thay đổi về huyết động"
"Tiếng thổi thực thể sinh ra do:","Tổn thương thực thể tại van tim","Sự thay đổi về huyết động","Sốt cao","Thiếu máu nặng","Tổn thương thực thể tại van tim"
"Khám mạch cần xác định:","Tần số, nhịp điệu","Cường độ, độ nảy","Thành mạch","Tất cả đúng","Tất cả đúng"
"Mạch nảy mạnh chìm sâu là dấu hiệu của:","Hẹp van động mạch chủ","Hở van động mạch chủ","Hẹp van 2 lá","Hở van 2 lá","Hở van động mạch chủ"
"Tĩnh mạch cảnh trong nổi, chọn câu SAI:","Suy tim phải","Suy tim toàn bộ","Hở van 2 lá","Hẹp van 2 lá","Hở van 2 lá"
"Nghiệm pháp phản hồi gan - tĩnh mạch cảnh dương tính khi:","Ấn gan làm tĩnh mạch cảnh nổi rõ hơn","Ấn gan làm tĩnh mạch cảnh xẹp đi","Ấn gan làm tĩnh mạch cảnh không thay đổi","Ấn gan gây đau","Ấn gan làm tĩnh mạch cảnh nổi rõ hơn"
