"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Bệnh nhân và nha sĩ được ghi nhận làm việc ở tư thế đứng vào thời điểm lịch sử nào?","Đầu thế kỷ 16","Đầu những năm 1960","Thế kỷ 19","Đầu thế kỷ 20","a"
"Khái niệm làm việc theo nhóm 'Four-handed dentistry' bắt đầu được áp dụng rộng rãi từ thời gian nào?","Những năm 1930","Năm 1947","Những năm 1960","Đầu thế kỷ 21","c"
"Theo nguyên tắc ngồi thăng bằng, đầu của nha sĩ có thể di chuyển trong khoảng bao nhiêu độ để tránh tổn thương?","0 - 10 độ","0 - 15 độ","0 - 20 độ","0 - 25 độ","b"
"Để đảm bảo thị giác và tư thế tốt nhất, khoảng cách từ vùng làm việc đến mắt nha sĩ nên là bao nhiêu?","25 – 30 cm","30 – 35 cm","40 – 45 cm","35 – 40 cm","d"
"Trong tư thế ngồi đúng, thông số góc gập lý tưởng giữa hông và đùi là bao nhiêu độ?","90 độ","110 độ","120 độ","80 độ","a"
"Để bảo vệ hệ cơ-xương-khớp, phần đùi trên và dưới của nha sĩ khi ngồi nên tạo một góc như thế nào?","90 độ","110 độ hoặc ít hơn","120 độ hoặc hơn","70 độ","b"
"Trên sơ đồ đồng hồ, vùng nào được xác định là vùng hoạt động chính của nha sĩ?","Vùng 2 - 4g","Vùng 4 - 7g","Vùng 7 - 12g","Vùng 12 - 2g","c"
"Trong quy trình phối hợp, vùng trao đổi dụng cụ giữa nha sĩ và trợ thủ nằm ở vị trí nào?","Vùng 4 - 7g","Vùng 2 - 4g","Vùng 7 - 12g","Vùng 1 - 2g","a"
"Một nha sĩ thuận tay phải muốn tiếp cận gần nhất với dụng cụ mà không đưa ngang mặt bệnh nhân nên ngồi ở tư thế nào?","Tư thế 8g","Tư thế 9g","Tư thế 10g","Tư thế 11g","d"
"Trong quá trình điều trị, khuỷu tay của nha sĩ được khuyến cáo không nên di chuyển khỏi thân một góc quá bao nhiêu?","15 độ","20 độ","25 độ","30 độ","b"
"Hệ thống máy điện tốc độ thường trong nha khoa sử dụng mô tơ có vận tốc hoạt động là bao nhiêu?","5.000 - 10.000 vòng/phút","20.000 - 25.000 vòng/phút","10.000 - 15.000 vòng/phút","Trên 100.000 vòng/phút","c"
"Máy điện tốc độ cao (máy siêu tốc) yêu cầu áp lực khí nén từ hệ thống là bao nhiêu?","6-8 kg lực","2-4 kg lực","4-6 kg lực","8-10 kg lực","a"
"Khi phẫu thuật viên cần thực hiện các đường cắt ở vị trí giải phẫu sâu, lưỡi dao số 15 nên được lắp vào cán dao nào?","Cán dao số 3","Cán dao số 7","Cán dao số 4","Cán dao số 10","b"
"Để thực hiện một vết rạch niêm mạc dài và liên tục, loại lưỡi dao nào sau đây là lựa chọn phổ biến nhất?","Lưỡi số 11","Lưỡi số 12","Lưỡi số 15","Lưỡi số 10","d"
"Trong trường hợp cần thực hiện các vết rạch rất nhỏ và tinh tế, lưỡi dao nào được ưu tiên sử dụng?","Lưỡi số 10","Lưỡi số 11","Lưỡi số 15","Lưỡi số 22","c"
"Khi cần cắt các cấu trúc mô dày chắc như cân, cơ hoặc cắt chỉ phẫu thuật, nha sĩ nên chọn loại kéo nào?","Kéo Mayo","Kéo Metzenbaum","Kéo Iris nhọn","Kéo thắt mạch","a"
"Trong thao tác bóc tách và cắt các cấu trúc mô mỏng mảnh như thanh mạc, loại kéo nào là phù hợp nhất?","Kéo Mayo","Kéo cắt chỉ thép","Kéo cắt lợi","Kéo Metzenbaum","d"
"Để xử lý tình trạng chảy máu từ vùng xương xốp trong phẫu thuật, phương pháp nào thường được áp dụng hiệu quả?","Dùng máy đốt điện","Sáp xương (bone wax)","Xịt nước áp lực cao","Kẹp mạch máu đầu cong","b"
"Mũi khoan phẫu thuật chuyên dụng để cắt và điều chỉnh xương ổ răng thường có đường kính bao nhiêu?","2mm","1mm","3mm","4mm","a"
"Trong kỹ thuật cố định răng lung lay do chấn thương, kích thước dây thép thông dụng nhất là bao nhiêu?","0,1 - 0,2 mm","0,5 - 1,0 mm","0,25 - 0,5 mm","1,0 - 1,5 mm","c"
"Máy cạo vôi điện từ (Magnetostrictive) hoạt động dựa trên cơ chế vật lý nào?","Sử dụng thanh thạch anh","Sử dụng tia laser","Hơi nén quay tuabin","Áp xung điện từ trên các lá kim loại mỏng","d"
"Tần số rung của máy cạo vôi siêu âm trong nha khoa thường được thiết lập trong khoảng nào để đảm bảo hiệu quả và sự dễ chịu?","10-15 KHz","18-32 KHz","40-50 KHz","Trên 60 KHz","b"
"Trong cơ chế làm sạch của máy siêu âm, hiện tượng 'lỗ hổng' (cavitation) đóng vai trò chính là gì?","Rửa sạch các mảnh vụn cao răng vừa bị đánh bong","Đánh trực tiếp vào khối cao răng cứng","Làm nóng đầu tác dụng để diệt khuẩn","Mài mòn bề mặt men răng","a"
"Ưu điểm vượt trội của máy siêu âm thạch anh (Piezoelectric) so với máy điện từ là gì?","Giá thành thấp hơn","Rung theo hình elip","Nhiệt lượng phát ra ít hơn","Dễ sửa chữa búp sen hơn","c"
"Máy cạo vôi P5 (Satelec) yêu cầu áp lực nước vận hành trong khoảng thông số nào?","5 - 10 PSI","14,5 - 20 PSI","80 - 100 PSI","14,5 - 73 PSI","d"
"Thao tác kỹ thuật đúng khi lắp đầu tác dụng vào tay cầm của máy cạo vôi P5 là gì?","Vặn ngược chiều kim đồng hồ","Vặn theo chiều kim đồng hồ vừa đủ chặt","Ấn mạnh theo trục dọc","Xoay trái 2 vòng rồi ấn","b"
"Hệ thống Micromotor nha khoa được thiết kế chủ yếu cho mục đích thực hành nào trong Labo?","Mài chỉnh và đánh bóng các phục hình","Nhổ răng khôn ngầm","Cạo vôi răng dưới nướu","Chụp phim quanh chóp","a"
"Nguyên lý vận hành cốt lõi của hệ thống Micromotor dựa trên sự tương tác của yếu tố nào?","Thủy lực và khí nén","Năng lượng cơ học dây trân","Điện và Từ trường","Sóng siêu âm cao tần","c"
"Bộ phận 'Búp sen' (collet) trong cấu tạo tay khoan Micromotor thực hiện chức năng gì?","Làm mát mũi mài bằng nước","Tạo momen quay cho rotor","Điều chỉnh tốc độ vòng quay","Giữ mũi mài ở đầu tay khoan","d"
"Trên bảng điều khiển K-Control, tốc độ quay ngược (reverse) tối đa của tay khoan được giới hạn ở mức nào?","5.000 vòng/phút","1.000 vòng/phút","10.000 vòng/phút","25.000 vòng/phút","a"
"Để kích hoạt chế độ làm việc với tốc độ tối đa vượt ngưỡng 30.000 vòng/phút trên máy K-Control, người dùng phải làm gì?","Vặn núm điều chỉnh hết cỡ","Bấm vào nút ký hiệu '>30'","Nhấn giữ bàn đạp 5 giây","Bật công tắc đảo chiều","b"
"Nha sĩ được khuyến cáo không nên sử dụng hệ thống Micromotor vượt quá tốc độ nào để đảm bảo an toàn thiết bị?","15.000 R.P.M","35.000 R.P.M","25.000 R.P.M","45.000 R.P.M","c"
