"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Vàng da sinh lý ở trẻ sơ sinh, xét nghiệm máu sẽ thấy:","Tăng Bilirubin trực tiếp","Tăng Bilirubin gián tiếp và trực tiếp bằng nhau","Tăng Bilirubin toàn phần","Tăng Bilirubin gián tiếp","d"
"Vàng da tại gan, phân có đặc điểm:","Bạc màu hoàn toàn","Phân vàng","Phân sậm màu","Vàng nhạt hay bạc màu không hoàn toàn","d"
"Bệnh nhân vàng da có lách to, ta nghĩ đến bệnh lý nào:","Sỏi ống mật chủ","Thalasemia","Viêm gan cấp do rượu","Ung thư đầu tụy","b"
"Bệnh nhân vàng da sau gan, phân có màu gì do tắc mật hoàn toàn:","Phân vàng","Phân xanh rêu","Phân bạc màu","Phân đen","c"
"Táo bón khi số lần đi tiêu ít hơn bao nhiêu lần trong một tuần:","1","2","3","4","c"
"Nguyên nhân nào chiếm tỷ lệ cao nhất của xuất huyết tiêu hóa:","Loét dạ dày","Viêm dạ dày","Polyp dạ dày","Mallory Weiss","a"
"Cơ quan nào nằm tại vùng thượng vị:","Thùy phải của gan","Một phần mặt sau dạ dày","Đám rối thái dương","Đoạn sau động mạch, tĩnh mạch chủ bụng","c"
"Cơ quan nào nằm tại vùng hạ sườn phải:","Thùy gan phải","Môn vị","Hang vị","Cực dưới thận phải","a"
"Cơ quan nào nằm tại vùng hông phải:","Đại tràng xuống","Tuyến thượng thận phải","Thận phải","Hai niệu quản","c"
"Nôn ra máu có số lượng bao nhiêu thì có khả năng gây sốc:","40ml","50ml","60ml","70ml","c"
"Thời gian máu lưu trong lòng ruột tối thiểu bao lâu mới có thể làm phân có màu đen:","6 giờ","7 giờ","8 giờ","9 giờ","c"
"Cơ chế bệnh sinh của đau bụng có mấy cơ chế:","3","4","5","6","b"
"Xuất huyết tiêu hóa trên là do tổn thương tại các cơ quan sau. NGOẠI TRỪ:","Thực quản","Dạ dày","Tá tràng","Hổng tràng","d"
"Xuất huyết tiêu hóa trên, chọn câu SAI:","Chỉ biểu hiện bằng nôn ra máu","Biểu hiện bằng nôn ra máu hoặc tiêu phân đen","Tổn thương trên góc Treizt","Xuất huyết nhiều có thể gây tiêu máu đỏ","a"
"Các loại thuốc có thể gây phân màu đen. NGOẠI TRỪ:","Sắt","Bismuth","Than hoạt","Rifampicin","d"
"Trong xuất huyết tiêu hóa, chỉ số nào sau đây tăng:","Số lượng hồng cầu","Hematocrit","Hemoglobin","Ure máu","d"
"Những nguyên nhân gây đau bụng cấp. NGOẠI TRỪ:","Thủng dạ dày","Viêm tụy xuất huyết","Viêm túi mật","Lao ruột","d"
"Bilirubin liên hợp được tạo ra ở đâu:","Gan","Tụy","Tá tràng","Dạ dày","a"
"Để khám dấu rung gan, ta dùng tay nào đấm vào vùng gan:","Tay trái","Tay phải","Dùng cả hai tay","Tay nào cũng được","d"
"Khi khám bụng, trình tự đúng là:","Nhìn, sờ, gõ, nghe","Nhìn, gõ, sờ, nghe","Nhìn, nghe, gõ, sờ","Nhìn, nghe, sờ, gõ","c"
"Bệnh nhân vàng da trước gan, khi làm xét nghiệm nước tiểu sẽ phát hiện:","Tăng urobilin","Xuất hiện sắc tố mật","Có muối mật","Có stercobilin","a"
"Khám dấu óc ách dạ dày, tốt nhất vào lúc nào:","Sáng sớm sau ngủ dậy 1 giờ.","Tối trước khi đi ngủ.","Sáng sớm sau ngủ dậy uống 100ml nước.","Sáng sớm sau ngủ dậy chưa ăn uống gì","d"
"Nghiệm pháp Murphy dương tính khi có các biểu hiện sau:","Thành bụng co cứng.","Hít vào và thở ra đều đau.","Ấn tay vào vùng túi mật lúc bệnh nhân hít vào thì thấy đau, nên phải ngưng thở.","Ấn tay vào vùng túi mật, bệnh nhân đau ít, buông tay ra thấy đau nhiều hơn","c"
"Hội chứng lỵ thường có các triệu chứng sau đây, ngoại trừ:","Đau bụng quặn dọc khung đại tràng.","Phản xạ mót rặn.","Số lần đi tiêu rất ít.","Phân thường có nhầy hoặc máu.","c"
"Vàng da do tăng Bilirubin trực tiếp thường gặp ở các bệnh lý sau, ngoại trừ:","Viêm gan siêu vi","Thalassemia","Xơ gan","Sỏi ống mật chủ.","b"
"Các phương pháp thăm dò hình thái học hệ tiêu hóa-gan mật, ngoại trừ:","Chụp XQ bụng không chuẩn bị","Siêu âm bụng","Xét nghiệm men gan","Chụp CT scan","c"
"Siêu âm bụng có thể phát hiện được các bệnh lý sau, ngoại trừ:","Gan nhiễm mỡ","Áp xe gan","Sỏi túi mật","Loét dạ dày","d"
"Chụp CT scan ổ bụng có ưu điểm hơn siêu âm, ngoại trừ:","Có độ phân giải cao hơn","Cho biết bản chất khối u là lành tính hay ác tính","Có thể phát hiện các tổn thương nhỏ mà siêu âm bỏ sót","Không bị hạn chế bởi hơi trong đường ruột","b"
"Phương pháp thăm dò hình thái nào thường được ứng dụng nhất trong các bệnh lý đường tiêu hóa:","Chụp XQ bụng không chuẩn bị","Siêu âm qua ngã nội soi","Siêu âm bụng","Chụp CT scan","c"
