câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
"Lịch sử ghi nhận sự thay đổi lớn nhất về tư thế làm việc trong nha khoa vào đầu những năm 1960 là gì?","Nha sĩ chuyển hoàn toàn sang tư thế đứng để tăng lực mài cắt.","Chuyển từ tư thế đứng sang tư thế ngồi với bệnh nhân nằm nghiêng.","Loại bỏ vai trò của trợ thủ để nha sĩ tự vận hành máy móc.","Sử dụng hệ thống ròng rọc thay cho động cơ điện.",b
"Quan niệm Four-handed dentistry được định nghĩa chính xác là gì?","Nha sĩ sử dụng cả hai tay và hai chân để điều khiển máy.","Sự phối hợp của hai nha sĩ cùng thực hiện một ca phẫu thuật khó.","Nhóm làm việc gồm các cá nhân có kỹ năng, làm việc trong môi trường hợp lý để tăng chất lượng điều trị và bảo vệ sức khỏe đội ngũ.","Kỹ thuật sử dụng robot hỗ trợ thay thế hoàn toàn trợ thủ nha khoa.",c
"Trong tư thế ngồi thăng bằng, góc độ cúi đầu tối đa của nha sĩ để không gây tổn thương cột sống cổ là bao nhiêu?","0 - 15°","15 - 30°","30 - 45°","45 - 60°",a
"Khoảng cách lý tưởng từ mắt người điều trị đến vùng làm việc trong miệng bệnh nhân là:","20 - 30 cm","35 - 40 cm","45 - 55 cm","60 - 70 cm",b
"Theo quy tắc mặt đồng hồ, Vùng trao đổi dụng cụ (Transfer zone) nằm ở vị trí nào?","12g - 2g","2g - 4g","4g - 7g","7g - 12g",c
"Khi thực hiện điều trị ở tư thế ngồi, góc gập giữa hông và đùi của nha sĩ nên đạt mức:","60°","90°","120°","150°",b
"Tư thế 11g - 12g của nha sĩ thường được ưu tiên vì lý do chính nào?","Cho phép nha sĩ đứng dậy nhanh khi có sự cố.","Tiếp cận gần nhất với dụng cụ và không đưa dụng cụ ngang mặt bệnh nhân.","Là vị trí duy nhất có thể quan sát được mặt ngoài răng hàm dưới.","Giúp nha sĩ có thể tựa tay vào ngực bệnh nhân.",b
"Vị trí 8g - 10g của nha sĩ thường được chỉ định khi điều trị các vùng răng nào?","Răng cửa hàm trên (mặt khẩu cái).","Răng hàm dưới, mặt má răng trên bên phải, mặt khẩu cái răng trên bên trái.","Răng khôn hàm trên bên trái.","Chỉ dùng khi lấy dấu hai hàm.",b
"Cách cầm dụng cụ theo tiêu chuẩn lâm sàng được khuyến cáo là:","Cầm bằng lòng bàn tay để tạo lực mạnh.","Cầm bằng 2 ngón tay để tăng độ linh hoạt.","Cầm bằng 3 ngón tay như cầm viết, 2 ngón còn lại tựa điểm tựa trong hoặc ngoài miệng.","Cầm bằng 5 ngón tay ôm vòng quanh thân dụng cụ.",c
"Góc gập tối đa của cánh tay dưới (cẳng tay) so với sàn nhà không nên vượt quá bao nhiêu theo tài liệu hướng dẫn?","10°","30°","60°","90°",c
"Khi điều trị vùng răng hàm trên, tư thế bệnh nhân phù hợp nhất là:","Ngồi thẳng 90° so với sàn nhà.","Nằm nghiêng 45° so với sàn nhà.","Đầu và lưng nằm thẳng song song với sàn nhà.","Tư thế Trendelenburg (đầu thấp hơn chân).",c
"Một nha sĩ đang mài cùi răng 46 (mặt xa). Để đảm bảo quan sát rõ vùng làm việc mà vẫn duy trì cột sống thẳng (không cúi quá 15°) và khuỷu tay không rời thân quá 20°, vị trí ngồi và điều chỉnh đầu bệnh nhân nào là hợp lý nhất?","Ngồi vị trí 12g, đầu bệnh nhân ngửa tối đa.","Ngồi vị trí 9g, đầu bệnh nhân xoay mạnh sang phải.","Ngồi vị trí 11g, đầu bệnh nhân xoay nhẹ sang trái và hơi cúi cằm.","Ngồi vị trí 7g, đầu bệnh nhân xoay sang trái.",c
"Máy điện nha khoa tốc độ thường sử dụng mô tơ có vận tốc trong khoảng nào?","5.000 - 8.000 vòng/phút.","10.000 - 15.000 vòng/phút.","20.000 - 30.000 vòng/phút.","Trên 100.000 vòng/phút.",b
"Bộ phận xịt hơi và nước (3-way syringe) trên ghế máy có chức năng chính là gì?","Chỉ dùng để rửa vết thương phẫu thuật.","Làm sạch, thổi khô vùng làm việc hoặc tạo phun sương khi kết hợp.","Cung cấp nước cho tay khoan siêu tốc.","Hút nước bọt và máu trong miệng.",b
"Nguyên lý hoạt động của máy cạo vôi điện từ (Magnetostrictive) là:","Sử dụng thanh thạch anh rung dưới dòng điện xoay chiều.","Chuỗi hợp kim sắt co giãn theo sự điều khiển của từ trường với tần số khoảng 25.000 chu kỳ/s.","Sử dụng áp suất khí nén làm quay tuabin nhỏ ở đầu tác dụng.","Sử dụng tia laser phá vỡ liên kết của vôi răng.",b
"Hiện tượng Lỗ hổng (Cavitation) trong máy siêu âm cạo vôi mang lại lợi ích gì?","Làm nóng nước để bệnh nhân không bị buốt.","Tạo lực cơ học trực tiếp làm bong vôi răng.","Hàng triệu bong bóng nhỏ vỡ ra phát năng lượng rửa sạch mảnh vụn cao răng.","Giúp diệt khuẩn tuyệt đối trong môi trường nước bọt.",c
"Ưu điểm và nhược điểm chính của máy siêu âm thạch anh (Piezoelectric) là gì?","Máy yếu nhưng bền bỉ, không cần nước làm mát.","Máy mạnh, nhiệt lượng phát ra ít nhưng thanh tinh thể thạch anh rất dễ vỡ.","Giá thành rẻ, có thể dùng chung đầu tác dụng với máy điện từ.","Tần số rung thấp (dưới 10 KHz) giúp bệnh nhân dễ chịu.",b
"Hệ thống Micromotor nha khoa (như K-Control) được thiết kế chủ yếu cho mục đích nào?","Mài chỉnh và đánh bóng các phục hình trong Labo.","Sửa soạn xoang trám loại I ở tay khoan siêu tốc.","Nhổ răng khôn bằng kỹ thuật chia cắt chân răng.","Phẫu thuật đặt Implant vào xương hàm.",a
"Khi vận hành máy Micromotor, tốc độ quay tối đa được nhà sản xuất khuyến cáo để đảm bảo an toàn là:","15.000 R.P.M","25.000 R.P.M","40.000 R.P.M","50.000 R.P.M",b
"Để bảo quản búp sen (chuck) của tay khoan Micromotor sau khi sử dụng, nha sĩ cần thực hiện thao tác nào?","Tháo mũi mài và để trống đầu tay khoan.","Tháo mũi mài và lắp chốt thẳng vào để bảo vệ hệ thống kẹp.","Ngâm toàn bộ tay khoan vào dung dịch sát khuẩn mạnh.","Xịt hơi trực tiếp vào bên trong tay khoan để làm sạch bụi.",b
"Lưỡi dao số 15 thường được sử dụng cho các đường rạch nào và lắp vào cán dao số mấy?","Đường rạch dài, lắp vào cán số 4.","Đường rạch rất nhỏ, lắp vào cán số 3 (hoặc số 7 khi cắt sâu).","Chích áp-xe lớn, lắp vào cán số 3.","Phẫu thuật cắt nướu đại thể, lắp vào cán số 4.",b
"Kéo Metzenbaum trong phẫu thuật nha khoa có đặc điểm và công dụng gì?","Nặng và chắc, dùng cắt chỉ thép.","Mảnh và nhẹ, dùng cắt các cấu trúc mô mỏng như thanh mạc, niêm mạc.","Có đầu nhọn, dùng để gặm xương ổ răng.","Dùng để kẹp mạch máu đang chảy.",b
"Khi cần cầm máu chảy trong vùng xương xốp trong phẫu thuật, biện pháp nào thường được áp dụng?","Dùng máy đốt điện cường độ cao.","Dùng dụng cụ nhẵn miết phần xương xốp hoặc dùng sáp xương.","Khâu thắt bằng chỉ Catgut 000.","Đắp gạc tẩm nước lạnh.",b
"Mũi khoan phẫu thuật dùng để nhổ răng ngầm thường có đặc điểm gì?","Hình tròn hoặc trụ, đường kính 2mm, lắp vào tay khoan thẳng tốc độ thấp.","Hình quả trám, lắp vào tay khoan siêu tốc.","Làm bằng thép không gỉ, đường kính 5mm.","Chỉ dùng được ở tay khoan khuỷu.",a
"Trong bảo trì định kỳ hệ thống Micromotor, người sử dụng KHÔNG được thực hiện thao tác nào?","Vệ sinh máy bằng khăn khô hàng tuần.","Dùng các dung dịch làm sạch xịt trực tiếp vào máy.","Kiểm tra điện thế trước khi sử dụng.","Gọi kỹ thuật viên khi gặp sự cố.",b
"Bản chất của sự phát sinh tia X trong bóng đèn máy X-quang là gì?","Sự đốt nóng dây tóc âm cực làm phát sáng.","Quá trình chuyển đổi năng lượng khi điện tử bất ngờ giảm tốc độ tại tiêu điểm dương cực.","Sự phản xạ của ánh sáng nhìn thấy qua gương cầu lõm.","Quá trình phân rã hạt nhân của vật liệu Tungsten.",b
"Tại sao Tungsten (Volfram) được chọn làm vật liệu cho cả dây tóc và bia ngắm?","Vì nó có giá thành thấp nhất.","Vì số nguyên tử cao (74) và điểm nóng chảy rất cao (3370°C).","Vì nó là kim loại mềm nhất, dễ gia công thành hình dạng phức tạp.","Vì nó không hấp thụ bức xạ thứ cấp.",b
"Ly tập trung (Focusing cup) trong âm cực làm bằng vật liệu gì và có chức năng gì?","Bằng Tungsten, dùng để đốt nóng điện tử.","Bằng Molybdenum, dùng cố định dây tóc và tập trung đám mây điện tử về phía dương cực.","Bằng Đồng, dùng để giải nhiệt cho bia ngắm.","Bằng Thủy tinh chân không, dùng để bảo vệ bóng đèn.",b
"Nguyên lý tiêu điểm hiệu quả (Line Focus Principle) được thực hiện bằng cách nào?","Tăng kích thước bia ngắm lên gấp đôi.","Đặt bia ngắm nghiêng một góc 15-20° so với âm cực.","Rút hết không khí trong bóng thủy tinh.","Sử dụng lõi đồng bao quanh bia ngắm.",b
"Kỹ thuật chụp phim phân giác (BAT) dựa trên định lý hình học nào?","Định lý Pitago về tam giác vuông.","Hai tam giác bằng nhau khi có một cạnh chung và hai góc bằng nhau.","Tỉ lệ thuận giữa khoảng cách và cường độ tia.","Định lý Talet về các đường thẳng song song.",b
"Trong kỹ thuật phân giác, nếu tia chính thẳng góc với trục răng (thiếu góc độ đứng) thì hình ảnh sẽ bị:","Thu ngắn.","Kéo dài.","Chồng lấp các mặt bên.","Mờ nét hoàn toàn.",b
"Khi chụp phim răng cối lớn hàm trên bằng kỹ thuật phân giác, góc độ đứng trung bình là:","+40°","+20°","-5°","+30°",b
"Mặt phẳng Camper dùng để xác định tư thế bệnh nhân hàm trên được nối từ:","Khóe mép đến gờ bình tai.","Gờ bình tai đến cánh mũi.","Đỉnh cằm đến thùy châu tai.","Hai khóe mắt với nhau.",b
"Ưu điểm nổi bật nhất của kỹ thuật chụp song song so với kỹ thuật phân giác là:","Không cần dùng dụng cụ giữ phim.","Hình ảnh chẩn đoán trung thực hơn, ít bị méo lệch và dễ chuẩn hóa.","Khoảng cách từ vật đến phim là ngắn nhất.","Thời gian phát tia ngắn hơn đáng kể.",b
"Phóng xạ phụ (Secondary radiation) phát sinh từ đâu?","Từ tâm quang tuyến của ống tia X.","Do tia X chiếu tới vật thể (như da thịt bệnh nhân) và phản lại mọi phương hướng.","Từ nguồn điện lưới cung cấp cho máy.","Từ các lá chì bảo vệ tường.",b
"Khoảng cách an toàn tối thiểu cho nha sĩ khi đứng chụp phim mà không có bình phong chì là:","2 bộ (khoảng 0.6m)","3 bộ (khoảng 1m)","6 bộ (khoảng 2m)","10 bộ (khoảng 3m)",c
"Biện pháp hiệu quả nhất để giảm liều phóng xạ cho bệnh nhân là:","Sử dụng phim tốc độ chậm để hình ảnh rõ hơn.","Dùng phim siêu tốc và áo chì thường xuyên.","Giảm khoảng cách từ đầu đèn đến mặt bệnh nhân.","Rửa phim bằng hóa chất nồng độ thấp.",b
"Để kiểm tra mức độ nhiễm xạ cá nhân hàng tháng, nhân viên y tế nên:","Tự đi xét nghiệm máu mỗi tuần.","Đeo phim đo lường phóng xạ trên áo và gửi đi kiểm tra định kỳ.","Đếm số lần chụp phim trong sổ nhật ký.","Quan sát màu sắc da tay dưới ánh sáng mặt trời.",b
"Ai là người chế tạo ra máy nha khoa đạp bằng chân đầu tiên?","Singer và Howe.","Morrison.","Cyeszynski.","Tungsten.",b
"Khi mài khô 0.5mm ngà răng bằng tay khoan siêu tốc, nhiệt độ tạo ra có thể đạt mức:","42°C","100°C","118°C","245°C",c
"Theo nghiên cứu, nếu nhiệt độ tủy răng tăng thêm bao nhiêu độ thì 60% trường hợp tủy sẽ bị hoại tử?","5°C","10°C","20°C","30°C",b
"Lượng nước phun sương tối ưu để làm mát và rửa sạch mảnh vụn khi mài răng là:","1 - 5 ml/phút","7 - 21 ml/phút","30 - 50 ml/phút","100 ml/phút",b
"Cấu tạo mũi khoan nha khoa gồm 3 phần chính là:","Đầu, Vai, Thân.","Đầu, Cổ, Thân.","Mũi, Trục, Đuôi.","Lưỡi cắt, Khớp, Cán.",b
"Mũi khoan dùng cho tay khoan siêu tốc có đặc điểm phần thân như thế nào?","Dài 35mm, đường kính 2mm, đuôi trơn.","Đường kính nhỏ (khoảng 1.2mm), đuôi trơn láng.","Có mặt vát và rãnh ở đuôi để ăn khớp lưỡi gà.","Có ren xoáy để vặn chặt vào tay khoan.",b
"Mũi khoan Tungsten Carbide khác mũi khoan thép ở điểm nào?","Có phủ hạt kim cương trên bề mặt.","Dùng để mài sứ là chính.","Có các lưỡi cắt nhỏ dùng để cắt mô răng, bền hơn mũi thép.","Chỉ dùng được ở tốc độ dưới 10.000 vòng/phút.",c
"Cơ chế tác động của mũi khoan kim cương là:","Dùng các lưỡi sắc để gọt mô răng thành từng mảng lớn.","Dùng các hạt kim cương hình dạng không đều để mài mòn bề mặt mô răng.","Sử dụng sóng siêu âm để làm vỡ men răng.","Đốt cháy mô răng bằng nhiệt ma sát terk.",b
"Mũi khoan hình nón cụt thường được sử dụng cho mục đích gì?","Mở tủy răng.","Mài mặt trong răng cửa.","Làm phẳng đáy xoang và tạo các đường góc, tạo lưu cho xoang trám.","Đánh bóng phục hình nhựa.",c
"Loại mũi khoan nào được khuyên dùng để mài đường hoàn tất của cùi răng phục hình?","Mũi tròn nhỏ.","Mũi trụ búp.","Mũi bánh xe.","Mũi quả trám.",b
"Tại sao nha sĩ không nên nhìn gián tiếp qua gương khi mài răng có phun sương mà không có sự hỗ trợ của trợ thủ?","Vì tia nước sẽ làm mờ mặt gương ngay lập tức.","Vì gương sẽ phản xạ tia X vào mắt nha sĩ.","Vì gương làm đảo ngược hình ảnh gây sai lệch 100%.","Vì nước phun sương có thể làm vỡ gương do nhiệt.",a
"Mũi khoan tạo lỗ (Twist drills) có chức năng đặc thù là:","Mài mịn bề mặt composite.","Tạo những lỗ có đường kính nhỏ trong mô răng (thường dùng đặt pin lưu).","Chia cắt chân răng trong nhổ răng khó.","Lấy đi toàn bộ ngà mủn trong lỗ sâu.",b
