câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Viêm hạch lymphô là gì?,Sự tăng sinh ác tính của hạch lymphô,Tình trạng viêm của hạch bạch huyết,Thoái hóa mỡ trong hạch bạch huyết,Rối loạn miễn dịch của hệ bạch huyết,b
Viêm hạch lymphô cấp không đặc hiệu thường gặp nhất ở vị trí nào?,Hạch cổ và hạch nách,Hạch trung thất,Hạch ổ bụng,Hạch chậu,a
Nguyên nhân thường gặp nhất của viêm hạch lymphô cấp không đặc hiệu là?,Vi khuẩn liên cầu và tụ cầu,Nhiễm nấm,Nhiễm ký sinh trùng,Nhiễm lao,a
Đặc điểm mô học của viêm hạch lymphô cấp không đặc hiệu?,Trung tâm mầm lớn với thâm nhiễm bạch cầu trung tính,Xơ hóa lan tỏa hạch lymphô,Hoại tử đông đặc trung tâm hạch,Sự tăng sinh quá mức của tế bào mast,a
Viêm hạch lymphô do nhiễm virus thường có đặc điểm nào?,Chỉ ảnh hưởng một hạch đơn độc,Viêm hạch lymphô toàn thân,Gây hoại tử mỡ hạch lymphô,Không gây ra triệu chứng toàn thân,b
Viêm hạch lymphô mạn không đặc hiệu thường do nguyên nhân nào?,Vi khuẩn lao và giang mai,Nhiễm virus cúm,Chấn thương cơ học,Nhiễm trùng cấp tính,a
Đặc điểm của viêm hạch lymphô mạn?,Hạch sưng và đỏ đau,Hạch to kéo dài và ít đau,Hạch nhỏ lại sau vài ngày,Hoại tử nhanh chóng,b
Hội chứng HLH là gì?,Rối loạn tự miễn làm tiêu hủy hạch lymphô,Kích hoạt quá mức của đại thực bào và tế bào T độc,Quá trình xơ hóa hạch lymphô toàn thân,Sự tăng sinh ác tính của tế bào B,b
Nguyên nhân phổ biến nhất gây HLH thứ phát là?,Nhiễm virus Epstein-Barr (EBV),Nhiễm khuẩn tụ cầu,Thiếu hụt vitamin B12,Mất nước nặng,a
Tiêu chuẩn chính trong chẩn đoán HLH là gì?,Tăng ferritin máu,Giảm hồng cầu đơn thuần,Hạch lymphô teo nhỏ,Tăng bạch cầu trung tính,a
Sinh thiết tủy xương của bệnh nhân HLH cho thấy đặc điểm nào?,Đại thực bào thực bào các tế bào máu,Tăng sinh tế bào plasma,Giảm sản xuất bạch cầu hạt,Hoại tử mô mỡ,a
Điều trị chính của HLH bao gồm?,Ức chế miễn dịch và chặn cytokine,Dùng kháng sinh phổ rộng,Xạ trị hạch lymphô,Cắt bỏ hạch lymphô,a
Tân sinh lymphô bao gồm nhóm bệnh nào?,Bệnh bạch cầu và u lymphô và rối loạn tế bào huyết tương,Chỉ bệnh bạch cầu,Chỉ u lymphô,Chỉ rối loạn tế bào huyết tương,a
Dấu hiệu đặc trưng của u lymphô Hodgkin là?,Tế bào Reed-Sternberg,Hoại tử trung tâm hạch,Sự xâm nhập bạch cầu trung tính,Xơ hóa mạch máu,a
Dạng u lymphô không Hodgkin phổ biến nhất là?,U lymphô tế bào B lớn lan tỏa (DLBCL),U lymphô Burkitt,U lymphô tế bào T ngoại vi,Bệnh bạch cầu lymphô mạn,a
Đột biến gen nào liên quan đến bệnh bạch cầu dòng tủy mạn (CML)?,BCR-ABL,TP53,RAS,MYC,a
