câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Thuật ngữ "tân sinh" (neoplasia) dùng để chỉ:,Sự chết tế bào theo chương trình,Sự tăng sinh bất thường của mô,Hiện tượng viêm cấp tính,Sự sửa chữa mô tổn thương,b
Thành phần cơ bản của khối u bao gồm:,Chủ mô u và mô đệm,Bạch cầu và hồng cầu,Tiểu cầu và collagen,Mạch máu và lympho bào,a
Điểm khác biệt chính giữa u lành tính và u ác tính là gì?,U ác tính có khả năng xâm lấn và di căn,U lành tính luôn phát triển chậm hơn u ác tính,U lành tính không cần phẫu thuật,U ác tính có vỏ bao rõ ràng,a
Danh pháp của các khối u lành tính thường có hậu tố nào?,"-sarcoma","-carcinoma","-oma","-blastoma",c
Ví dụ nào dưới đây là u ác tính mặc dù có hậu tố "-oma"?,U xơ (fibroma),U mỡ (lipoma),U lympho (lymphoma),U tuyến (adenoma),c
Đặc điểm của u lành tính là:,Giới hạn rõ ràng không xâm lấn,Có khả năng di căn,Phát triển rất nhanh,Xâm nhập mạch máu,a
U tuyến dạng nang (cystadenoma) thường gặp ở cơ quan nào?,Phổi,Buồng trứng,Gan,Tim,b
Polyp là gì?,U dạng nang,U biểu mô có cấu trúc nhánh,Khối u nhô lên trên bề mặt niêm mạc,U xương lành tính,c
U nào sau đây là một loại u lành tính của mô cơ trơn?,Osteoma,Leiomyoma,Lipoma,Fibroma,b
Một u lành tính thường có đặc điểm nào sau đây trên vi thể?,Tế bào u có nhân lớn dị dạng,Hoạt động phân bào bất thường,Tế bào có biệt hóa tốt,Xâm nhập mạch máu,c
Đặc điểm chính của u ác tính là:,Không có khả năng xâm lấn,Phát triển chậm,Xâm nhập mô xung quanh và có thể di căn,Luôn có vỏ bao,c
Sarcoma là thuật ngữ dùng để chỉ:,U có nguồn gốc từ tế bào biểu mô,U có nguồn gốc từ mô liên kết,U không biệt hóa,U lành tính của tuyến,b
Ung thư biểu mô tuyến (adenocarcinoma) có nguồn gốc từ:,Tế bào trung mô,Tế bào biểu mô tuyến,Tế bào máu,Tế bào thần kinh,b
Đặc điểm nào sau đây KHÔNG phải của u ác tính?,Di căn,Mất tính biệt hóa (thoái sản),Phát triển chậm và có vỏ bao,Xâm nhập mô xung quanh,c
U ác tính có xu hướng phát triển nhanh do:,Hoạt động phân bào cao,Giảm tín hiệu ức chế tăng trưởng,Xâm nhập mạch máu,Tất cả các yếu tố trên,d
U nào dưới đây có khả năng di căn cao nhất?,U xơ (fibroma),U mỡ (lipoma),Ung thư biểu mô tuyến (adenocarcinoma),U xương lành tính (osteoma),c
Con đường lan truyền phổ biến nhất của carcinoma là:,Qua hệ bạch huyết,Qua máu,Qua khoang cơ thể,Qua dây thần kinh,a
Sarcoma thường lan truyền theo con đường nào?,Hệ bạch huyết,Đường máu,Khoang cơ thể,Không di căn,b
Một bệnh nhân có ung thư buồng trứng nhiều khả năng khối u sẽ lan qua con đường nào?,Hệ bạch huyết,Xâm nhập mạch máu,Lan rộng qua khoang phúc mạc,Trực tiếp xâm lấn qua cơ quan kế cận,c
"""Pseudomyxoma peritonei"" là thuật ngữ mô tả tình trạng nào?",Ung thư buồng trứng lan qua hệ bạch huyết,Sự lan rộng của chất nhầy từ khối u vào khoang phúc mạc,Ung thư phổi di căn đến gan,Sarcoma di căn qua đường máu,b
Yếu tố nào quyết định mức độ ác tính của một khối u?,Độ biệt hóa tế bào,Tốc độ phát triển,Khả năng xâm lấn và di căn,Tất cả các yếu tố trên,d
Hệ thống TNM dùng để phân loại gì?,Độ biệt hóa khối u,Giai đoạn bệnh ung thư,Mức độ viêm của khối u,Mức độ đáp ứng với hóa trị,b
Một khối u có di căn xa sẽ được xếp loại TNM ở mức độ nào?,T1,N0,M1,G1,c
Dấu ấn ung thư nào được sử dụng để theo dõi ung thư tuyến tiền liệt?,CEA,CA-125,PSA,AFP,c
Ung thư vú có thể biểu hiện quá mức gen nào sau đây?,RB,HER2/neu,BRCA1,APC,b
Phương pháp nào được coi là tiêu chuẩn vàng trong chẩn đoán ung thư?,Xét nghiệm máu,Sinh thiết mô,Chụp CT,Xét nghiệm dấu ấn khối u,b
Phương pháp nào sau đây giúp xác định kiểu gen của tế bào ung thư?,Giải trình tự thế hệ mới (NGS),Chụp cộng hưởng từ (MRI),Sinh thiết lỏng,A và C đều đúng,d
Hệ thống TNM phân loại ung thư dựa trên yếu tố nào?,Độ biệt hóa tế bào,Kích thước khối u di căn hạch di căn xa,Tuổi bệnh nhân,Phản ứng viêm của mô xung quanh,b
Dấu ấn khối u CA-125 được sử dụng để theo dõi ung thư nào?,Ung thư đại tràng,Ung thư tuyến tiền liệt,Ung thư buồng trứng,Ung thư gan,c
Sinh thiết lỏng giúp phát hiện ung thư bằng cách:,Đo lượng kháng thể trong máu,Phát hiện DNA của tế bào ung thư lưu hành trong máu,Chụp ảnh mô bệnh,Phân tích protein huyết thanh,b
Phương pháp nào sau đây KHÔNG phải là một phương pháp điều trị ung thư chính?,Phẫu thuật,Hóa trị,Liệu pháp miễn dịch,Kháng sinh liều cao,d
Mục tiêu chính của phẫu thuật trong điều trị ung thư là gì?,Làm giảm triệu chứng đau,Loại bỏ toàn bộ khối u,Tăng cường hiệu quả hóa trị,Ngăn ngừa hình thành di căn,b
Hóa trị hoạt động theo cơ chế nào?,Giết chết các tế bào ung thư đang phân chia nhanh,Tăng cường hệ miễn dịch chống ung thư,Ngăn chặn sự hình thành mạch máu của khối u,Ức chế hoạt động của tế bào gốc ung thư,a
Tác dụng phụ phổ biến nhất của hóa trị là gì?,Suy giảm miễn dịch,Gây tổn thương thận,Giảm huyết áp,Gây loãng xương,a
Xạ trị tiêu diệt tế bào ung thư bằng cách nào?,Phá hủy DNA của tế bào ung thư,Tăng tốc độ chết tế bào theo chương trình,Kích thích hệ miễn dịch tiêu diệt tế bào ung thư,Ức chế nguồn cung cấp năng lượng của tế bào,a
Liệu pháp miễn dịch trong điều trị ung thư hoạt động bằng cách nào?,Kích hoạt hệ thống miễn dịch để tiêu diệt tế bào ung thư,Tiêu diệt trực tiếp tế bào ung thư bằng thuốc,Ức chế sự tăng sinh của tế bào ung thư,Cản trở sự phát triển của khối u thông qua thiếu máu nuôi dưỡng,a
Thuốc ức chế điểm kiểm soát miễn dịch (immune checkpoint inhibitors) hoạt động bằng cách nào?,Ngăn chặn sự ức chế của tế bào T,Kích thích tế bào ung thư tự chết,Phá hủy mạch máu nuôi khối u,Giảm sự tăng sinh tế bào ung thư,a
Liệu pháp nhắm đích (targeted therapy) khác với hóa trị truyền thống như thế nào?,Chỉ tác động vào tế bào ung thư có đột biến đặc hiệu,Gây ít tác dụng phụ hơn hóa trị,Không ảnh hưởng đến tế bào lành,Cả A và B đều đúng,d
Thuốc Imatinib (Gleevec) là liệu pháp nhắm đích được sử dụng để điều trị bệnh nào?,Ung thư phổi,Bạch cầu dòng tủy mãn tính (CML),Ung thư gan,Ung thư vú,b
Liệu pháp kháng sinh có thể được sử dụng để điều trị ung thư nào?,Ung thư phổi,Ung thư dạ dày do Helicobacter pylori,Ung thư đại trực tràng,Ung thư tuyến giáp,b
