"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Triệu chứng nào sau đây không phải là triệu chứng của viêm loét dạ dày:","Đau thượng vị","Buồn nôn","Ợ hơi","Đau hạ vị","d"
"Helicobacter pylori có liên quan đến bệnh lý nào:","Viêm loét dạ dày","Ung thư dạ dày","Viêm thực quản","Cả a và b","d"
"Xuất huyết tiêu hóa trên có biểu hiện nào sau đây:","Nôn ra máu","Đi ngoài phân đen","Đau bụng","Cả a và b","d"
"Gan to, vàng da, ngứa là triệu chứng của:","Viêm gan","Xơ gan","Sỏi mật","Tất cả đều có thể","d"
"Men gan tăng cao trong trường hợp nào:","Viêm gan cấp","Xơ gan","Ung thư gan","Tất cả đều đúng","d"
"Triệu chứng nào sau đây gợi ý viêm ruột thừa cấp:","Đau hố chậu phải","Sốt","Nôn","Tất cả đều đúng","d"
"Bệnh lý nào sau đây có thể gây vàng da tắc nghẽn:","Sỏi đường mật","Ung thư đầu tụy","Ung thư đường mật","Tất cả đều đúng","d"
"Triệu chứng điển hình của hội chứng ruột kích thích là:","Đau bụng giảm sau khi đi tiêu","Tiêu chảy xen kẽ táo bón","Không có triệu chứng toàn thân","Tất cả đều đúng","d"
"Xét nghiệm nào sau đây quan trọng để chẩn đoán viêm tụy cấp:","Amylase máu","Lipase máu","Cả a và b","Không có đáp án đúng","c"
"Biến chứng nặng nhất của xơ gan là:","Cổ trướng","Xuất huyết tiêu hóa do giãn tĩnh mạch thực quản","Hôn mê gan","Nhiễm trùng màng bụng","c"
