"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Trong hệ thống trụ truyền lực của khối sọ mặt, lực nhai từ chân trong các răng cối lớn hàm trên được dẫn truyền chủ yếu đến đâu?","Thành ngoài sọ mặt và cung gò má","Vòm miệng cứng và thành trong sọ mặt","Mỏm gò má và xương chính mũi","Xương hàm dưới thông qua lồi cầu","b"
"Hiện tượng 'tiêu xương hướng tâm' (centripetal resorption) sau khi mất răng toàn bộ thường dẫn đến kết quả lâm sàng nào?","Cung hàm trên trở nên nhỏ hơn so với cung hàm dưới","Cung hàm dưới trở nên nhỏ hơn so với cung hàm trên","Cung hàm trên và hàm dưới tiêu xương tương xứng","Xương hàm trên bị đẩy ra phía trước do lực cơ","a"
"Tại sao vị trí của lỗ ống răng dưới được coi là một đặc điểm bảo vệ sinh học trong vận động hàm?","Nó nằm ở vùng có mật độ xương đặc nhất để tránh gãy xương","Nó nằm ở vùng ít di động nhất trong quá trình há ngậm để tránh xoắn vặn mạch máu","Nó là điểm bám của dây chằng bướm hàm giúp ổn định lồi cầu","Nó cho phép thần kinh đi vào theo hướng vuông góc với lực nhai","b"
"Đặc điểm cấu trúc nào của xương hàm dưới tạo điều kiện cho các răng cối lớn dưới ăn khớp thuận lợi với hàm trên?","Cung xương ổ lớn hơn cung thân hàm","Cung xương ổ hẹp hơn so với cung thân hàm","Trục răng cối lớn nghiêng từ trong ra ngoài","Sự hiện diện của mỏm quạ ở phía trước lồi cầu","b"
"Trụ truyền lực từ các răng trước và chân ngoài các răng cối lớn hàm trên đi qua cấu trúc nào để lên vòm sọ?","Vòm miệng cứng","Thành trong của sọ mặt","Thành ngoài của sọ mặt","Xương vảy thái dương","c"
"Sự tiêu xương ổ răng sau khi mất răng ở hàm dưới được mô tả là gì?","Tiêu xương hướng tâm","Tiêu xương ly tâm","Tiêu xương theo chiều ngang đơn thuần","Tiêu xương không xác định hướng","b"
"Dây chằng nào bám từ mỏm trâm đến góc hàm dưới?","Dây chằng bướm hàm","Dây chằng chân bướm hàm","Dây chằng trâm hàm","Dây chằng thái dương hàm","c"
"Khoang răng cối lớn (molar không gian) ở mặt trong xương hàm dưới là nơi chứa cấu trúc nào?","Cơ chân bướm ngoài và bao khớp","Tuyến mang tai và dây thần kinh mặt","Nền lưỡi, cơ trên móng và tuyến nước bọt","Xoang hàm trên và các răng cối","c"
"Lực nhai từ cung răng trên có khuynh hướng di chuyển theo các dầm nâng đỡ cho đến khi nào?","Đến khi gặp lực đối kháng của cơ cắn","Đến khi chúng yếu dần và tan biến vào các cấu trúc vòm sọ","Đến khi tác động trực tiếp vào khe nhĩ trai","Đến khi bị triệt tiêu bởi dịch khớp thái dương hàm","b"
"Cấu trúc nào nối gai bướm và đường khớp trai đá đến gai Spix?","Dây chằng trâm hàm","Dây chằng bướm hàm","Dây chằng chân bướm hàm","Bao khớp thái dương hàm","b"
"Trong các vận động không đối xứng của hàm dưới, vai trò của hệ thống cơ được thể hiện như thế nào?","Chỉ các cơ nâng hàm bên làm việc mới hoạt động","Có sự tham gia phối hợp của các cơ đối vận","Các cơ luôn sắp xếp vuông góc với hướng vận động","Cơ hai bên luôn co cùng cường độ","b"
"Đặc điểm nào của cơ cắn giúp nó tạo ra tiềm năng lực co rất lớn nhưng hạn chế về khả năng kéo dài?","Cấu tạo hình quạt với nhiều nhóm sợi","Thiết đồ ngang rộng và có nhiều lớp cơ (nông và sâu)","Nguyên ủy từ hố thái dương","Bám tận vào mỏm quạ xương hàm dưới","b"
