câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
U buồng trứng phát sinh từ loại tế bào nào?,Tế bào cơ,Tế bào nội mô,Tế bào biểu mô - tế bào mầm và mô đệm,Tế bào thần kinh,c
Loại u nào chiếm tỷ lệ cao nhất trong u buồng trứng?,U tế bào mầm,U biểu mô,U dây sinh dục – mô đệm,U di căn,b
Ung thư buồng trứng phổ biến nhất thuộc nhóm nào?,Ung thư thanh dịch độ cao,Ung thư nhầy,Ung thư tế bào sáng,Ung thư nội mạc tử cung,a
Ung thư buồng trứng có tỷ lệ tử vong cao nhất trong nhóm nào?,Ung thư cổ tử cung,Ung thư nội mạc tử cung,Ung thư buồng trứng,Ung thư âm đạo,c
Loại u buồng trứng nào thường gặp ở phụ nữ trẻ?,U tế bào mầm,U biểu mô,U dây sinh dục – mô đệm,U di căn,a
Tỷ lệ ung thư buồng trứng cao nhất ở nhóm tuổi nào?,Dưới 20 tuổi,20 – 30 tuổi,50 – 70 tuổi,Trên 80 tuổi,c
Khu vực nào có tỷ lệ ung thư buồng trứng cao nhất?,Châu Phi,Bắc Mỹ và Châu Âu,Đông Nam Á,Trung Đông,b
Yếu tố nguy cơ lớn nhất của ung thư buồng trứng là gì?,Sinh con nhiều,Đột biến BRCA1/2,Hút thuốc lá,Sử dụng thuốc tránh thai,b
U buồng trứng nào liên quan đến hội chứng Lynch?,Ung thư thanh dịch,Ung thư nội mạc tử cung,Ung thư tế bào sáng,U quái trưởng thành,b
U tế bào mầm phổ biến nhất là?,U loạn sản,U quái trưởng thành,U túi noãn hoàng,U tế bào Sertoli-Leydig,b
U buồng trứng nào có nguy cơ ác tính cao nhất?,U thanh dịch độ thấp,U thanh dịch độ cao,U nang nhầy,U nội mạc tử cung,b
U nào có thể chứa mô thần kinh - lông - răng?,U quái trưởng thành,U loạn sản,U nội mạc tử cung,U tế bào sáng,a
Đặc điểm mô học của ung thư tế bào sáng là gì?,Chứa nhiều tế bào hình đinh ghim,Nhân hình bầu dục - tăng sinh mạnh,Nhân nhỏ - sắp xếp dạng tuyến,Cấu trúc giống ruột,a
U nào thường liên quan đến lạc nội mạc tử cung?,Ung thư thanh dịch,Ung thư nội mạc tử cung,U quái trưởng thành,U loạn sản,b
U buồng trứng nào có thể gây nam hóa?,U tế bào hạt,U tế bào Sertoli-Leydig,U quái trưởng thành,U loạn sản,b
Đột biến nào liên quan đến ung thư buồng trứng di truyền?,TP53,BRCA1/2,KRAS,MYC,b
