"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Sự phát triển của răng bắt đầu từ tuần thứ mấy của phôi thai?","Tuần thứ 4","Tuần thứ 5","Tuần thứ 6","Tuần thứ 7","b"
"Quá trình hình thành răng chịu sự chi phối của các quy luật sinh học nào?","Hoàn toàn do di truyền lập trình sẵn","Di truyền và một số trường hợp ngoại di truyền (biểu sinh)","Hoàn toàn do yếu tố môi trường tác động","Chỉ do sự biệt hóa ngẫu nhiên của ngoại bì","b"
"Thành phần nào đóng vai trò cảm ứng đối với biểu mô miệng để hướng dẫn quá trình thành lập răng?","Nội bì hạ khẩu","Ngoại trung mô (nguồn gốc mào thần kinh)","Trung bì chính danh","Lá ngách miệng","b"
"Chỉ báo hình thái đầu tiên của sự phát triển răng là gì?","Sự xuất hiện của nhú răng","Sự dày lên có giới hạn của biểu mô hốc miệng (tế bào chuyển sang hình cột)","Sự hình thành bao răng","Sự xuất hiện của sụn Meckel","b"
"Vào ngày thứ 40-44 sau thụ tinh, đặc điểm nào sau đây mô tả đúng tình trạng mầm răng?","Đã có sự phân biệt rõ giữa môi và gờ xương ổ","Vòm miệng nguyên thủy đã phát triển nhưng chưa có mầm răng nào trên lá răng","Mầm răng đã bước vào giai đoạn chỏm","Các răng cửa sữa đã bắt đầu hình thành nụ","b"
"Lá răng hình thành cung liên tục đi qua đường giữa phía trước vào thời điểm nào?","Ngày thứ 40-44","Ngày thứ 44-48","Ngày thứ 48-51","Ngày thứ 51-53","b"
"Nguyên mầm của các răng sữa bắt đầu xuất hiện sớm nhất ở vùng nào?","Răng cửa hàm trên và răng cối sữa I hàm dưới","Răng nanh hàm trên và răng cửa hàm dưới","Răng cối sữa II hàm trên","Răng cửa bên hàm dưới","a"
"Ngách miệng được hình thành do sự chẻ ra của thành phần nào vào khoảng ngày 48-51?","Lá răng","Lá ngách miệng (lá tiền đình)","Mầm răng giai đoạn nụ","Lá răng thứ phát","b"
"Nguyên mầm của răng cối sữa II bắt đầu xuất hiện vào thời gian nào?","Ngày thứ 44-48","Ngày thứ 48-51","Ngày thứ 51-53","Tuần thứ 12","c"
"Sự xuất hiện của răng dư (thừa) trên lâm sàng thường do nguyên nhân phôi học nào?","Sự tăng sinh quá mức của xương ổ răng","Sự hình thành nguyên mầm kép ở dải biểu mô chính","Sự thoái hóa sớm của lá răng","Sự sót lại của bao biểu mô Hertwig","b"
"Giai đoạn nụ của mầm răng còn được gọi là giai đoạn gì theo đặc điểm hoạt động tế bào?","Giai đoạn biệt hóa","Giai đoạn tăng sinh","Giai đoạn chế tiết","Giai đoạn trưởng thành","b"
"Mầm răng ở giai đoạn chỏm (cap stage) bao gồm các thành phần nào sau đây?","Cơ quan men, nhú răng, bao răng","Cơ quan men, ngà răng, tủy răng","Men răng, ngà răng, xương ổ răng","Lá răng, nhú răng, tủy răng","a"
"Bao răng (túi răng) có nguồn gốc từ loại tế bào nào?","Biểu mô men lớp ngoài","Tầng lưới","Ngoại trung mô tụ đặc quanh cơ quan men và nhú răng","Tế bào biểu mô miệng nguyên thủy","c"
"Đặc điểm quan trọng nhất để phân biệt giai đoạn chuông với giai đoạn chỏm là gì?","Sự xuất hiện của lá răng","Sự xác định hình thể tương lai của thân răng và biệt hóa tế bào","Sự bắt đầu khoáng hóa men răng","Sự hình thành ngách tiền đình","b"
"Dựa trên thí nghiệm tái hợp mô, thành phần nào quyết định hình thể đặc trưng (răng cửa hay răng cối) của răng?","Cơ quan men","Nhú răng","Bao răng","Lá răng","b"
"Trong giai đoạn chuông, cơ quan men bao gồm bao nhiêu tầng tế bào biệt hóa?","2 tầng","3 tầng","4 tầng","5 tầng","c"
"Tầng lưới (stellate reticulum) trong cơ quan men có chức năng chính là gì?","Biệt hóa thành nguyên bào men","Chế tiết ngà răng","Tạo khoảng trống và chứa chất cơ bản ái thủy (mucopolysaccharide)","Chế tiết xê măng","c"
"Tế bào của tầng trung gian (stratum intermedium) đặc biệt giàu loại men (enzyme) nào?","Amylase","Phosphatase kiềm và acid","Protease","Lipase","b"
"Biểu mô men lớp trong (inner enamel epithelium) sẽ biệt hóa thành loại tế bào nào?","Nguyên bào ngà","Nguyên bào sợi","Nguyên bào men","Nguyên bào xê măng","c"
