câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Tuyến giáp nằm ngang mức đốt sống nào?,C2–C4,C5–T1,T1–T3,T3–T5,b
Hormon tuyến giáp được tiết ra chủ yếu từ loại tế bào nào?,Tế bào C,Tế bào thần kinh đệm,Tế bào nang,Tế bào lympho,c
Tế bào C của tuyến giáp tiết ra:,TSH,T3,Calcitonin,Thyroglobulin,c
Chất keo trong lòng nang tuyến giáp bắt màu gì trong nhuộm HE?,Bắt màu base,Bắt màu acid,Không bắt màu,Bắt màu eosin mạnh,b
Hormon TSH được tiết ra từ tuyến nào?,Tuyến giáp,Tuyến tùng,Tuyến yên,Tuyến cận giáp,c
Bệnh lý nào do không phát triển mầm tuyến giáp?,Phình giáp,Cường giáp,Vô tạo tuyến giáp,Viêm giáp Hashimoto,c
Mô giáp lạc chỗ thường gặp nhất ở vị trí nào?,Vùng cổ sau,Vùng nền sọ,Đáy lưỡi,Giữa hai thuỳ giáp,c
Tỷ lệ trẻ sơ sinh mắc vô tạo tuyến giáp:,1/1000,1/2000,1/4000,1/10000,c
Bọc ống giáp - lưỡi có thể phát hiện ở tuổi nào?,Chỉ ở sơ sinh,Chỉ ở người lớn,Mọi lứa tuổi,Thường ở tuổi dậy thì,c
Điều trị dứt điểm bọc ống giáp - lưỡi là:,Uống iod,Dùng kháng sinh,Điều trị nội khoa,Phẫu thuật cắt bỏ,d
Phình giáp đơn thuần còn được gọi là:,Viêm giáp tự miễn,Bướu cổ không độc,Cường giáp nhẹ,Nang tuyến giáp,b
Thiếu iod là nguyên nhân chủ yếu gây:,Cường giáp,Ung thư giáp,Viêm tuyến giáp,Bướu giáp địa phương,d
Biểu hiện chính của phình giáp đơn thuần:,"Sốt cao, đau vùng cổ","Tuyến giáp to, không đau, không rối loạn chức năng",Tuyến giáp teo nhỏ,Tăng hormon T3-T4,b
Mô học phình giáp đơn thuần giai đoạn sớm thường thấy:,Thâm nhiễm lympho,"Nang giáp giãn to, lớp tế bào dẹt",Mô đệm xơ hóa nhiều,Biệt hóa gai,b
Điều trị phình giáp đơn thuần chủ yếu là:,Phẫu thuật,Iod phóng xạ,Bổ sung iod,Corticoid,c
Đặc điểm mô học nào dưới đây KHÔNG phù hợp với phình giáp đơn thuần:,"Nang giáp đồng đều, không dị sản",Lòng nang chứa nhiều keo,Tăng sinh hỗn hợp nang và mô đệm,Hình ảnh vùi nhân điển hình,d
Tuyến giáp trong phình giáp đơn thuần nặng sẽ:,Hoàn toàn xơ hóa,Không thay đổi mô học,"Có thể xuất huyết, thoái hóa nang",Luôn luôn hóa ác,c
Màu sắc tuyến giáp trong đại thể phình giáp đơn thuần là:,Xám bạc,Vàng nhạt,Nâu đồng đều hoặc loang lổ,Trắng xám,c
Dạng mô học phổ biến của phình giáp đơn thuần:,Tăng sản nang,U nhú,Dị sản gai,Hoại tử mỡ,a
Nguy cơ lớn nhất trong phình giáp đơn thuần kéo dài:,Viêm tuyến giáp,Áp xe hóa,Ung thư hóa,Tăng huyết áp,c
Viêm giáp Hashimoto thường gặp ở:,Nam giới lớn tuổi,Phụ nữ tuổi sinh sản,Trẻ sơ sinh,Người cao tuổi,b
Viêm tuyến giáp Hashimoto thuộc loại:,Viêm do vi khuẩn,Viêm không đặc hiệu,Viêm tự miễn,Viêm cấp mủ,c
Dấu hiệu mô học đặc trưng nhất của viêm giáp Hashimoto:,Áp xe hóa,Nang vỡ,Thâm nhiễm lympho và tế bào Hurthle,Biệt hóa gai,c
Viêm tuyến giáp De Quervain là:,Viêm hạt bán cấp,Viêm do nấm,Viêm xơ hóa,Viêm mạn tính ác tính,a
Viêm giáp Riedel có đặc điểm:,Tiết nhiều hormon tuyến giáp,Lan rộng ra các mô lân cận,Có nang lớn chứa dịch,Đáp ứng tốt với iod,b
Viêm tuyến giáp cấp thường do:,Lao,Vi khuẩn,Nấm,Virus,b
Viêm giáp Hashimoto dễ nhầm với:,U tuyến giáp,Ung thư nhú,Nang keo,Dị sản,b
Tế bào Hurthle bắt màu:,Acid mạnh,Base mạnh,Không bắt màu,Màu vàng đặc,a
Viêm tuyến giáp bán cấp điển hình có đặc điểm mô học:,U hạt khổng lồ,Thâm nhiễm eosin,Xơ hóa toàn phần,Vùi nhân ác tính,a
Dạng viêm tuyến giáp có thể dẫn đến suy giáp vĩnh viễn:,Viêm giáp cấp,Viêm giáp bán cấp,Viêm giáp Hashimoto,Viêm giáp Riedel,c
U tuyến giáp lành tính phổ biến nhất là:,U nang,U tuyến nang (follicular adenoma),U nhú,U mỡ,b
Mô học u tuyến giáp lành thường có:,Tế bào nhân không điển hình,"Tế bào nang đồng nhất, không xâm lấn vỏ",Dị sản gai rõ,Hoại tử lan rộng,b
Đặc điểm phân biệt u tuyến lành với ung thư là:,Kích thước u,Màu sắc mô,Xâm lấn vỏ và mạch máu,Tăng sinh tế bào,c
U tuyến giáp lành có thể phát sinh từ:,Tế bào C,Tế bào Hurthle,Tế bào nang,Tế bào lympho,c
U tuyến giáp lành điển hình là:,"Đơn ổ, có bao rõ","Nhiều ổ, xâm lấn xung quanh",Không có bao u,Luôn kèm hoại tử,a
Dạng đặc biệt của u tuyến giáp lành:,U Hurthle,U gai,U mô đệm,U thần kinh,a
Bao u trong u tuyến giáp lành là:,"Mỏng manh, dễ vỡ",Không tồn tại,"Xơ hóa rõ, phân biệt u và mô lành",Hoại tử hóa,c
Phát biểu nào đúng về u tuyến nang giáp:,Luôn là ác tính,Thường xâm lấn mạch máu,Không xâm lấn vỏ bao,Gây di căn xa,c
Dạng tế bào nào có thể gặp trong u tuyến lành:,Tế bào gai,Tế bào Hurthle,Tế bào dị sản ác,Tế bào lympho tăng sản,b
Phân biệt u tuyến nang và carcinoma nang dựa vào:,Độ biệt hóa,Số lượng tế bào,Xâm lấn vỏ và mạch máu,Tăng sinh tuyến,c
Ung thư tuyến giáp phổ biến nhất là:,Ung thư tủy,Ung thư nhú,Ung thư nang,Ung thư không biệt hóa,b
Ung thư tuyến giáp có tiên lượng tốt nhất:,Ung thư tủy,Ung thư nhú,Ung thư không biệt hóa,Ung thư nang xâm lấn mạnh,b
"Thể u nào có nhân giống ""mắt hạt cà""?",Ung thư tủy,Ung thư nang,Ung thư nhú,U tuyến giáp lành,c
U tuyến giáp biệt hóa kém nhất:,Ung thư nhú,Ung thư nang,Ung thư tủy,Ung thư không biệt hóa,d
Ung thư tủy tuyến giáp phát sinh từ:,Tế bào nang,Tế bào Hurthle,Tế bào C,Tế bào mô đệm,c
Marker miễn dịch dương tính trong ung thư tủy:,Thyroglobulin,TTF-1,Calcitonin,CK7,c
Di căn hạch cổ thường gặp trong:,Ung thư nang,Ung thư tủy,Ung thư nhú,Ung thư không biệt hóa,c
Ung thư giáp liên quan hội chứng MEN 2:,Ung thư nhú,Ung thư nang,Ung thư tủy,Ung thư không biệt hóa,c
Tiên lượng xấu nhất trong các loại ung thư tuyến giáp:,Nhú,Nang,Tủy,Không biệt hóa,d
Đặc điểm mô học nổi bật của ung thư không biệt hóa:,Cấu trúc nhú điển hình,"Tế bào dị dạng, hoại tử nhiều",Tế bào tiết calcitonin,Biệt hóa giống tuyến,b
