"bài học","câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Hệ Hô Hấp","Triệu chứng nào sau đây không thuộc triệu chứng cơ năng hô hấp","Ho","Ho ra máu","Đau ngực","Hô hấp nghịch thường","d"
"Hệ Hô Hấp","Nhóm kích thích gây ra ho thường gặp nhất là","Cơ học","Viêm","Tâm lý","Chèn ép","b"
"Hệ Hô Hấp","Mốc thời gian để phân loại ho theo thời gian xuất hiện là","2 tuần","3 tuần","4 tuần","6 tuần","b"
"Hệ Hô Hấp","Trong các nhận định sau đây, nhận định nào là đúng về ho ra máu","Ho ra máu là tình trạng máu từ đường hô hấp trên thoát ra vùng miệng khi ho","Ho ra máu là tình trạng máu từ đường hô hấp dưới thoát ra vùng miệng khi ho","Ho ra máu là tình trạng máu từ đường tiêu hóa thoát ra vùng miệng khi ho","Ho ra máu là tình trạng máu từ đường tiêu hóa và đường hô hấp trên thoát ra vùng miệng khi ho","b"
"Hệ Hô Hấp","Ho ra máu mức độ nặng khi","Mạch nhanh, huyết áp tụt nhưng không suy hô hấp","Có biểu hiện suy hô hấp, mạch nhanh nhưng huyết áp bình thường","Có biểu hiện huyết áp tụt, mạch chậm, nhưng thường không suy hô hấp","Có biểu hiện suy hô hấp và rối trụy tim mạch","d"
"Hệ Hô Hấp","Trong các nguyên nhân sau đây, nguyên nhân nào gây tràn dịch màng phổi dịch thấm","Suy tim","Hội chứng Dressler","Lupus ban đỏ hệ thống","Viêm khớp dạng thấp","a"
"Hệ Hô Hấp","Khi phân chia trung thất theo Lucy Squire trên X-quang ngực, tim thuộc trung thất nào","Trung thất trước","Trung thất giữa","Trung thất sau","Trung thất trên","b"
"Hệ Hô Hấp","Cấu trúc nào sau đây không phải là thành phần của trung thất","Động mạch chủ ngực","Thực quản","Tĩnh mạch chủ trên","Phổi","d"
"Hệ Hô Hấp","Trong các nguyên nhân sau đây, nguyên nhân nào gây tràn dịch màng phổi dịch tiết","Suy tim","Hội chứng Demons-Meigs","Viêm tụy cấp","Hội chứng thận hư","c"
"Hệ Hô Hấp","Trong các nguyên nhân sau đây, nguyên nhân nào gây tràn dịch màng phổi dịch tiết","Suy tim","Xơ gan","Tắc tĩnh mạch chủ trên","Lao màng phổi","d"
