"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Tổn thương nào sau đây không phải là tổn thương dạng mờ trên X-quang ngực?","Nốt","Khối","Kén phế quản","Tổ ong","c"
"Tổn thương nào sau đây không phải là tổn thương dạng mờ trên X-quang ngực?","Đông đặc","Xẹp phổi","Nốt","Bọt khí","d"
"Hình ảnh tràn khí màng phổi trên X-quang ngực có màu gì?","Trắng","Nâu","Đen","Xám","c"
"Trên X-quang ngực thẳng, đường Kerley A thường tập trung ở khu vực nào của phổi?","1/3 trên và giữa phổi","Góc đáy phổi phải và tiếp xúc với màng phổi","Phần giữa của phổi","Phần dưới của phổi","a"
"Trên X-quang ngực thẳng, đường Kerley B thường tập trung ở khu vực nào của phổi?","1/3 trên và giữa phổi","Góc đáy phổi phải và tiếp xúc với màng phổi","Phần giữa của phổi","Phần dưới của phổi","b"
"Trong phân tích kết quả thăm dò chức năng thông khí phổi, hai thông số chính cần được xem xét là gì?","FEV1 và PEF","FVC và FEF25-75","FEV1 và FVC","PEF và FEF25-75","c"
"Tỉ lệ FEV1/FVC < 0,7 là tiêu chuẩn vàng để chẩn đoán rối loạn thông khí dạng nào trong hô hấp ký?","Bình thường","Tắc nghẽn","Hạn chế","Hỗn hợp","b"
"Thăm dò chức năng hô hấp không bao gồm đánh giá nào sau đây?","Hoạt động thông khí của phổi","Tính cơ học của thông khí","Khí máu động mạch","Thăm dò trao đổi khí","b"
"Tổn thương nào sau đây không phải là tổn thương dạng mờ trên X-quang ngực?","Khối","Nút nhầy","Khí phế thũng","Lưới","c"
"Để chẩn đoán và đánh giá độ nặng bệnh phổi hạn chế, kỹ thuật thăm dò chức năng hô hấp nào là tối ưu nhất?","Thăm dò chức năng thông khí phổi","Thăm dò dung tích toàn phổi","Thăm dò khả năng khuếch tán khí","Thăm dò tính cơ học của thông khí","b"
"Để đánh giá tình trạng ứ khí trong phổi, cần dùng kỹ thuật thăm dò chức năng hô hấp nào?","Thăm dò chức năng thông khí phổi","Thăm dò dung tích toàn phổi","Thăm dò khả năng khuếch tán khí","Thăm dò tính cơ học của thông khí","b"
"Để đánh giá và theo dõi tiến triển bệnh phổi mô kẽ, kỹ thuật thăm dò chức năng hô hấp nào được ưu tiên?","Thăm dò khí máu động mạch","Thăm dò dung tích toàn phổi","Thăm dò khả năng khuếch tán khí","Thăm dò tính cơ học của thông khí","c"
"Để phát hiện bệnh mạch máu phổi, kỹ thuật thăm dò chức năng hô hấp nào nên được sử dụng?","Thăm dò chức năng thông khí phổi","Thăm dò dung tích toàn phổi","Thăm dò khả năng khuếch tán khí","Thăm dò tính cơ học của thông khí","c"
