"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Theo Tổ chức Y tế Thế giới (WHO), thiếu máu được định nghĩa là tình trạng giảm:","Số lượng hồng cầu (RBC) trong máu ngoại vi so với người cùng tuổi, cùng giới và cùng điều kiện sống","Dung tích hồng cầu (Hct) trong máu ngoại vi so với người cùng tuổi, cùng giới và cùng điều kiện sống","Nồng độ hemoglobin (Hb) trong máu ngoại vi so với người cùng tuổi, cùng giới và cùng điều kiện sống","Sự phân bố về kích thước hồng cầu (RDW) trong máu ngoại vi so với người cùng tuổi, cùng giới và cùng điều kiện sống","c"
"Chỉ số được xem quan trọng nhất của dòng hồng cầu trên công thức máu là:","Nồng độ hemoglobin (Hb)","Số lượng hồng cầu (RBC)","Dung tích hồng cầu (Hct)","Sự phân bố về kích thước hồng cầu (RDW)","a"
"Tiêu chuẩn chẩn đoán thiếu máu theo WHO 2011 ở nam giới (≥15 tuổi) là khi nồng độ Hemoglobin (g/L) nhỏ hơn:","110","120","130","140","c"
"Tiêu chuẩn chẩn đoán thiếu máu theo WHO 2011 ở phụ nữ không mang thai (≥15 tuổi) là khi nồng độ Hemoglobin (g/L) nhỏ hơn:","110","120","130","140","b"
"Tiêu chuẩn chẩn đoán thiếu máu theo WHO 2011 ở phụ nữ mang thai là khi nồng độ Hemoglobin (g/L) nhỏ hơn:","110","120","130","140","a"
"Theo WHO 2011, trẻ từ 6 đến 59 tháng tuổi được chẩn đoán thiếu máu mức độ nhẹ khi nồng độ Hemoglobin (g/L) nằm trong khoảng:","100 - 109","90 - 99","80 - 89","70 - 79","a"
"Theo WHO 2011, nam giới (≥15 tuổi) được chẩn đoán thiếu máu mức độ trung bình khi nồng độ Hemoglobin (g/L) nằm trong khoảng:","110 - 129","100 - 109","80 - 109","70 - 99","c"
"Theo WHO 2011, phụ nữ không mang thai (≥15 tuổi) được chẩn đoán thiếu máu mức độ nặng khi nồng độ Hemoglobin (g/L) nhỏ hơn:","100","90","80","70","c"
"Theo tiêu chuẩn WHO 2011, nhóm đối tượng nào có ngưỡng chẩn đoán thiếu máu mức độ nặng như nhau, NGOẠI TRỪ:","Phụ nữ mang thai","Trẻ từ 12 đến 14 tuổi","Nam giới (≥15 tuổi)","Phụ nữ không mang thai","a"
"Biểu hiện lâm sàng của hội chứng thiếu máu phụ thuộc vào các yếu tố sau, NGOẠI TRỪ:","Mức độ thiếu máu","Diễn tiến thiếu máu","Tuổi","Nguyên nhân của thiếu máu","d"
