"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"X quang ngực trong suy tim trái có hình ảnh, chọn câu SAI:","Tái phân bố tuần hoàn phổi","Đường Kerley B","Phù phổi hình cánh bướm","Mỏm tim bị đẩy xuống dưới và sang trái","d"
"Cận lâm sàng đầu tay để chẩn đoán xác định bệnh van tim là:","Điện tâm đồ","X quang ngực","Siêu âm tim","Thông tim","c"
"Cận lâm sàng nào là tiêu chuẩn vàng để chẩn đoán suy tim:","Điện tâm đồ","X quang ngực","Siêu âm tim","Men tim","c"
"Cận lâm sàng nào giúp đánh giá phân suất tống máu thất trái:","Điện tâm đồ","Siêu âm tim","X quang ngực","Chụp mạch vành","b"
"Chỉ định Holter điện tâm đồ, chọn câu KHÔNG ĐÚNG:","Theo dõi rối loạn nhịp tim","Đánh giá hiệu quả thuốc chống loạn nhịp","Chẩn đoán nguyên nhân ngất","Đánh giá chức năng co bóp của tim","d"
"Cận lâm sàng nào giúp khảo sát sự thay đổi điện tim khi bệnh nhân gắng sức:","Điện tâm đồ thường","Holter điện tâm đồ","Nghiệm pháp gắng sức","Siêu âm tim","c"
"Khi bệnh nhân có triệu chứng đau ngực, cận lâm sàng nào cần được thực hiện đầu tiên:","Điện tâm đồ","Siêu âm tim","Men tim","Chụp mạch vành","a"
"Cận lâm sàng nào giúp xác định vùng cơ tim bị thiếu máu:","Điện tâm đồ","Siêu âm tim","Xạ hình tưới máu cơ tim","Chụp mạch vành","c"
"Men tim nào được sử dụng phổ biến trong chẩn đoán nhồi máu cơ tim:","CK","CK-MB","Troponin","Myoglobin","c"
"Men tim nào giúp chẩn đoán tái nhồi máu cơ tim:","CK","CK-MB","Troponin","Myoglobin","b"
"Siêu âm tim Doppler giúp đánh giá, chọn câu KHÔNG ĐÚNG:","Chức năng tâm thu thất trái","Chức năng van tim","Áp lực động mạch phổi","Mức độ hẹp của động mạch vành","d"
