"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Quá trình cầm máu gồm bao nhiêu giai đoạn chính:","2","3","4","5","c"
"Giai đoạn co mạch máu thuộc giai đoạn nào của quá trình cầm máu:","Cầm máu kỳ đầu","Đông máu huyết tương","Tiêu sợi huyết","Cầm máu kỳ đầu và đông máu huyết tương","a"
"Giai đoạn hình thành nút chặn tiểu cầu thuộc giai đoạn nào của quá trình cầm máu:","Cầm máu kỳ đầu","Đông máu huyết tương","Tiêu sợi huyết","Cầm máu kỳ đầu và đông máu huyết tương","a"
"Giai đoạn nào sau đây KHÔNG thuộc quá trình cầm máu:","Giai đoạn thành mạch – tiểu cầu","Giai đoạn đông máu huyết tương","Giai đoạn tiêu sợi huyết","Giai đoạn ly giải hồng cầu","d"
"Bất thường của giai đoạn nào sau đây gây ra xuất huyết do nguyên nhân thành mạch:","Giai đoạn co mạch máu","Giai đoạn hình thành nút chặn tiểu cầu","Giai đoạn đông máu huyết tương","Giai đoạn tiêu sợi huyết","a"
"Bất thường của giai đoạn nào sau đây gây ra xuất huyết do nguyên nhân tiểu cầu:","Giai đoạn co mạch máu","Giai đoạn hình thành nút chặn tiểu cầu","Giai đoạn đông máu huyết tương","Giai đoạn tiêu sợi huyết","b"
"Kích thước của chấm xuất huyết là:","<1 mm","<2 mm","<3 mm","<4 mm","b"
"Kích thước của nốt xuất huyết là:","1-10 mm","2 mm-1 cm","3 mm-2 cm","4 mm-3 cm","b"
"Kích thước của mảng xuất huyết là:",">1 cm",">2 cm",">3 cm",">4 cm","a"
"Xuất huyết da dạng mảng, thường gặp trong các trường hợp sau, NGOẠI TRỪ:","Xuất huyết do chấn thương","Xuất huyết do giảm tiểu cầu","Xuất huyết do bệnh lý đông máu","Xuất huyết do bệnh lý thành mạch","b"
"Nghiệm pháp Lacet dùng để đánh giá:","Sức bền thành mạch","Số lượng tiểu cầu","Chức năng tiểu cầu","Yếu tố đông máu","a"
"Xét nghiệm nào sau đây đánh giá chức năng của tiểu cầu:","Thời gian máu chảy (TC)","Thời gian máu đông (TS)","Thời gian prothrombin (PT)","Thời gian cephalin-kaolin (aPTT)","a"
"Thời gian prothrombin (PT) đánh giá con đường đông máu nào:","Nội sinh","Ngoại sinh","Chung","Nội sinh và chung","b"
"Thời gian cephalin-kaolin (aPTT) đánh giá con đường đông máu nào:","Nội sinh","Ngoại sinh","Chung","Ngoại sinh và chung","a"
"Bệnh lý Hemophilia A là do bất thường:","Yếu tố II","Yếu tố V","Yếu tố VIII","Yếu tố IX","c"
"Nghiệm pháp Lacet dương tính khi số chấm xuất huyết trong vòng tròn đường kính 5 cm ở mặt trước cẳng tay là:",">5",">10",">15",">20","d"
"Thời gian máu chảy (TC) bình thường theo phương pháp Duke là:","1 – 2 phút","2 – 4 phút","3 – 5 phút","4 – 6 phút","b"
"aPTT kéo dài trong bệnh lý nào sau đây, NGOẠI TRỪ:","Hemophilia A","Hemophilia B","Thiếu yếu tố VII","Bệnh Von Willebrand","c"
"Đặc điểm nổi bật nhất của xuất huyết do nguyên nhân thành mạch:","Xuất huyết tự nhiên","Thường xuất huyết ở đầu xa chi","Xuất huyết đối xứng hai bên","Xuất huyết dạng chấm hoặc nốt hoặc mảng nhỏ","c"
"Tổn thương xuất huyết do nguyên nhân thành mạch thường gặp ở:","Chi trên","Ngực","Lưng","Chi dưới","d"
"Đặc điểm xuất huyết do nguyên nhân thành mạch, NGOẠI TRỪ:","Xuất huyết tự nhiên","Thường xuất huyết ở đầu xa chi","Xuất huyết đối xứng hai bên","Xuất huyết ở cơ và khớp","d"
"Đặc điểm nào sau đây là của xuất huyết do nguyên nhân thành mạch:","Xuất huyết đối xứng hai bên","Thường xuất huyết ở cơ và khớp","Băng ép cầm máu không hiệu quả","Xuất huyết trên da thường dạng mảng","a"
"CHỌN CÂU SAI. Đặc điểm xuất huyết do giảm số lượng tiểu cầu là:","Xuất huyết tự nhiên hoặc sau va chạm nhẹ","Chỉ xuất huyết ở đầu xa chân","Xuất huyết ở niêm mạc và tạng","Xuất huyết dạng chấm hoặc nốt hoặc mảng","b"
"Đặc điểm nào sau đây KHÔNG phù hợp với xuất huyết do giảm tiểu cầu:","Dấu dây thắt (+)","Thời gian máu chảy kéo dài","aPTT kéo dài","Giảm số lượng tiểu cầu","c"
"Triệu chứng nào sau đây là đặc trưng của xuất huyết do giảm yếu tố đông máu:","Xuất huyết dưới da dạng chấm, nốt","Tụ máu trong cơ và khớp","Xuất huyết niêm mạc mũi, lợi","Dấu dây thắt (+)","b"
"CHỌN CÂU SAI. Đặc điểm xuất huyết do bất thường yếu tố đông máu là:","Thường xuất huyết sau va chạm","Xuất huyết ở cơ và khớp","Xuất huyết trên da thường dạng nốt","Băng ép cầm máu có hiệu quả","c"
