"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Triệu chứng nào sau đây không thuộc triệu chứng cơ năng hô hấp","Ho","Ho ra máu","Đau ngực","Hô hấp nghịch thường","Hô hấp nghịch thường"
"Trong các đặc điểm sau đây, đặc điểm nào là không đúng với biểu hiện của ho ra máu","Ngứa ở vùng họng, thanh quản sau khi ho ra máu","Có tiền triệu mùi tanh, vị kim loại","Máu có màu đỏ tươi, thường lẫn đàm bọt","Khi ho máu giảm, bệnh nhân khạc ra đuôi của ho ra máu","Ngứa ở vùng họng, thanh quản sau khi ho ra máu"
"Tính chất nào sau đây phản ánh đúng tính chất máu trong ho ra máu","Máu đỏ sẫm","pH máu toan","Có đại thực bào phế nang chứa hemosiderin","Máu lẫn thức ăn","Có đại thực bào phế nang chứa hemosiderin"
"Ho ra máu mức độ nhẹ khi lượng máu ho ra nhỏ hơn","50mL","100mL","150mL","200ml","50mL"
"Ho ra máu mức độ nhẹ khi","Không làm thay đổi dấu hiệu sinh tồn, không suy hô hấp","Mạch có thể nhanh nhưng huyết áp bình thường, không suy hô hấp","Mạch có thể nhanh, huyết áp tụt nhẹ, không suy hô hấp","Có thể suy hô hấp nhẹ nhưng mạch và huyết áp bình thường","Không làm thay đổi dấu hiệu sinh tồn, không suy hô hấp"
"Ho ra máu mức độ trung bình khi lượng máu ho ra","<50ml","50-200mL","200-300mL","300-600mL","50-200mL"
"Ho ra máu mức độ trung bình khi","Không làm thay đổi dấu hiệu sinh tồn, không suy hô hấp","Mạch có thể nhanh nhưng huyết áp bình thường, không suy hô hấp","Mạch có thể nhanh, huyết áp tụt nhẹ, không suy hô hấp","Có biểu hiện của suy hô hấp và rối loạn về tim mạch","Mạch có thể nhanh nhưng huyết áp bình thường, không suy hô hấp"
"Ho ra máu mức độ nặng khi lượng máu ho ra",">50mL/lần",">100mL/lần",">150mL/lần",">200mL/lần",">200mL/lần"
"Ho ra máu mức độ nặng khi lượng máu ho ra",">150mL/48 giờ",">200mL/48 giờ",">400mL/48 giờ",">600mL/48 giờ",">600mL/48 giờ"
"Ho ra máu mức độ nặng khi","Mạch nhanh, huyết áp tụt nhưng không suy hô hấp","Có biểu hiện suy hô hấp, mạch nhanh nhưng huyết áp bình thường","Có biểu hiện huyết áp tụt, mạch chậm, nhưng thường không suy hô hấp","Có biểu hiện suy hô hấp và rối trụy tim mạch","Có biểu hiện suy hô hấp và rối trụy tim mạch"
"Phát biểu nào sau đây là đúng về khó thở","Là cảm giác được mô tả bằng trạng thái khó chịu, hụt hơi khi thở","Là cảm giác được mô tả bằng trạng thái hụt hơi, không thể hít sâu","Là cảm giác được mô tả bằng trạng thái lo lắng, không thể hít sâu","Là cảm giác được mô tả bằng trạng thái lo lắng, hụt hơi khi thở","Là cảm giác được mô tả bằng trạng thái hụt hơi, không thể hít sâu"
"Những nguyên nhân nào sau đây gây khó thở mạn tính","Rối loạn chức năng dây thanh","Tràn dịch màng phổi","Tràn khí màng phổi","Xuất huyết phổi","Tràn dịch màng phổi"
"Trong các mô tả sau đây, mô tả nào phù hợp với giai đoạn 0 của mức độ khó thở theo mMRC","Khó thở khi đi cùng bước với người cùng tuổi trên mặt bằng hoặc phải ngừng bước để thở khi đi bình thường trên mặt bằng","Khó thở khi đi nhanh trên mặt bằng hay mặt dốc nhẹ","Khó thở ngay trong các động tác sinh hoạt nhẹ như ăn, nói, tắm rửa, thay quần áo","Khó thở khi gắng sức nặng như đi lên dốc hay lên lầu 1","Khó thở khi gắng sức nặng như đi lên dốc hay lên lầu 1"
"Trong các mô tả sau đây, mô tả nào phù hợp với giai đoạn 1 của mức độ khó thở theo mMRC","Khó thở ngay khi đi bộ chậm trên mặt bằng, trong khoảng 100m","Khó thở khi gắng sức nặng như đi lên dốc hay lên lầu 1","Khó thở khi đi nhanh trên mặt bằng hay mặt dốc nhẹ","Khó thở khi đi cùng bước với người cùng tuổi trên mặt bằng hoặc phải ngừng bước để thở khi đi bình thường trên mặt bằng","Khó thở khi đi nhanh trên mặt bằng hay mặt dốc nhẹ"
"Trong các mô tả sau đây, mô tả nào phù hợp với giai đoạn 2 của mức độ khó thở theo mMRC","Khó thở khi đi nhanh trên mặt bằng hay mặt dốc nhẹ","Khó thở khi đi cùng bước với người cùng tuổi trên mặt bằng hoặc phải ngừng bước để thở khi đi bình thường trên mặt bằng","Khó thở ngay khi đi bộ chậm trên mặt bằng, trong khoảng 100m","Khó thở ngay trong các động tác sinh hoạt nhẹ như ăn, nói, tắm rửa, thay quần áo","Khó thở khi đi cùng bước với người cùng tuổi trên mặt bằng hoặc phải ngừng bước để thở khi đi bình thường trên mặt bằng"
"Trong các mô tả sau đây, mô tả nào phù hợp với giai đoạn 3 của mức độ khó thở theo mMRC","Khó thở khi gắng sức nặng như đi lên dốc hay lên lầu 1","Khó thở khi đi nhanh trên mặt bằng hay mặt dốc nhẹ","Khó thở ngay khi đi bộ chậm trên mặt bằng, trong khoảng 100m","Khó thở khi đi cùng bước với người cùng tuổi trên mặt bằng hoặc phải ngừng bước để thở khi đi bình thường trên mặt bằng","Khó thở ngay khi đi bộ chậm trên mặt bằng, trong khoảng 100m"
"Trong các mô tả sau đây, mô tả nào phù hợp với giai đoạn 4 của mức độ khó thở theo mMRC","Khó thở ngay khi đi bộ chậm trên mặt bằng, trong khoảng 100m","Khó thở ngay trong các động tác sinh hoạt nhẹ như ăn, nói, tắm rửa, thay quần áo","Khó thở khi gắng sức nặng như đi lên dốc hay lên lầu 1","Khó thở khi đi nhanh trên mặt bằng hay mặt dốc nhẹ","Khó thở ngay trong các động tác sinh hoạt nhẹ như ăn, nói, tắm rửa, thay quần áo"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào","Cơn hen cấp nặng","Nhồi máu phổi","Viêm phổi","Viêm thanh quản","Viêm thanh quản"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì hít vào","Phù phổi","Viêm phổi","Ung thư thanh quản","Khí phế thũng","Ung thư thanh quản"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì thở ra","Viêm thanh quản","Khí phế thũng","Viêm phổi","Nhồi máu phổi","Khí phế thũng"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở chủ yếu ở thì thở ra","Ung thư thanh quản","Phù Quincke","Nhồi máu phổi","Cơn hen cấp nặng","Cơn hen cấp nặng"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì","Viêm thanh quản","Nhồi máu phổi","Khí phế thũng","Cơn hen cấp nặng","Nhồi máu phổi"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây khó thở cả hai thì","Phù Quincke","Phù phổi","Khí phế thũng","Cơn hen cấp nặng","Phù phổi"
"Triệu chứng tím xuất hiện khi nồng độ hemoglobin không được oxy hóa trong máu đạt mốc nào trong các giá trị sau đây",">0,5g/dL",">5g/dL","7,5g/dL","10g/dL",">5g/dL"
"Trong các nhận định sau đây, nhận định nào là đúng về triệu chứng tím","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu động mạch","Tím ngoại biên phản ánh sự tăng lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu <5g/dL","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu động mạch"
