câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
"Trong thời kỳ tiền sử,nguyên nhân gây bệnh thường được gán cho:",Vi khuẩn,Sự trừng phạt của các vị thần,Di truyền học,Môi trường ô nhiễm,b
Thần y học được tôn thờ ở Hy Lạp là:,Apollo,Zeus,Asclepius,Hermes,c
Hippocrates cho rằng bệnh tật là do:,Tế bào đột biến,Sự mất cân bằng của bốn dịch trong cơ thể,Nhiễm khuẩn từ môi trường,Sự thay đổi của DNA,b
Ai là người được coi là cha đẻ của giải phẫu học?,Galen,Andreas Vesalius,Hippocrates,Avicenna,b
Antonie van Leeuwenhoek có đóng góp quan trọng gì trong bệnh học?,Mô tả cấu trúc DNA,Phát minh ra kính hiển vi,Xây dựng lý thuyết vi sinh,Phát triển PCR,b
Mối liên hệ giữa triệu chứng lâm sàng và tổn thương tử thi lần đầu tiên được nghiên cứu bởi:,Rudolf Virchow,Giovanni Battista Morgagni,Louis Pasteur,Antonie van Leeuwenhoek,b
Người đặt nền móng cho bệnh học tế bào là:,Rudolf Virchow,Louis Pasteur,Paul Ehrlich,Joseph Lister,a
Giả thuyết "tất cả tế bào đều phát sinh từ tế bào trước đó" được đề xuất bởi:,Rudolf Virchow,Gregor Mendel,Charles Darwin,Joseph Lister,a
Công trình nghiên cứu nào của Louis Pasteur đã góp phần vào sự phát triển của bệnh học?,Thuyết vi sinh vật,Phát minh kính hiển vi,Giải mã cấu trúc DNA,Tạo ra phương pháp nhuộm tế bào,a
Công nghệ nào đã mở ra kỷ nguyên bệnh học phân tử?,Kính hiển vi điện tử,Phản ứng chuỗi polymerase (PCR),Nhuộm H&E,Xét nghiệm miễn dịch,b
Kỹ thuật nào giúp xác định đột biến gen liên quan đến ung thư?,PCR,FISH,Hóa mô miễn dịch,Cả A và B,d
Bệnh học đại cương nghiên cứu:,Cơ chế bệnh chung,Từng hệ cơ quan riêng biệt,Bệnh di truyền,Bệnh nhiễm trùng,a
Bệnh học hệ thống tập trung vào:,Cấu trúc mô bệnh,Mối liên hệ giữa bệnh và cơ quan,Miễn dịch học,Vi khuẩn học,b
Bệnh học mô học có vai trò quan trọng nhất trong chẩn đoán:,Bệnh viêm,Bệnh ung thư,Bệnh di truyền,Bệnh nhiễm trùng,b
Xét nghiệm tế bào học nào được dùng rộng rãi để phát hiện ung thư cổ tử cung?,FNAC,Xét nghiệm Pap,Hóa mô miễn dịch,PCR,b
Bệnh học pháp y chủ yếu liên quan đến:,Xác định nguyên nhân tử vong,Chẩn đoán ung thư,Nghiên cứu mô học,Nghiên cứu huyết học,a
Bệnh nào sau đây thuộc bệnh học huyết học?,Bệnh bạch cầu,Bệnh tim mạch,Bệnh phổi,Bệnh thận,a
Bệnh học hóa học tập trung vào phân tích:,Dịch cơ thể,Mô bệnh học,Cấu trúc DNA,Vi khuẩn,a
Xét nghiệm sinh hóa lâm sàng có thể giúp phát hiện:,Bệnh tim mạch,Rối loạn nội tiết,Rối loạn chức năng thận,"Cả A, B và C",d
Bệnh học miễn dịch chủ yếu nghiên cứu:,Tế bào ung thư,Hệ miễn dịch,Vi khuẩn,Tế bào thần kinh,b
