câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Viêm gan cấp mô học đặc trưng bởi:,Tăng sinh mô sợi,"Thâm nhiễm tế bào viêm quanh tĩnh mạch cửa, tổn thương tế bào gan rải rác",Dị sản biểu mô,Tăng sinh ống mật,b
Tế bào viêm chủ yếu trong viêm gan do virus là:,Bạch cầu trung tính,Bạch cầu ái toan,Lympho bào,Tương bào,c
Thể Councilman là:,Hạt mỡ,Tế bào gan hoại tử ái toan,Tế bào viêm dạng u,Tế bào Kupffer phì đại,b
Viêm gan mạn được chẩn đoán khi kéo dài trên:,1 tuần,1 tháng,3 tháng,6 tháng,c
"Trong viêm gan mạn hoạt động, mô học cho thấy:","Hoại tử mảng (piecemeal necrosis) quanh khoảng cửa",Viêm cấp tính lan tỏa,Viêm mô mỡ,Viêm ống mật,a
Biến chứng lâu dài của viêm gan mạn:,Xơ gan,Viêm ruột thừa,Sỏi mật,Gan nhiễm mỡ,a
Viêm gan siêu vi B có thể gây:,Viêm tụy cấp,Xơ gan và ung thư tế bào gan,Bệnh Wilson,Thiếu máu,b
Tổn thương mô học ở viêm gan virus cấp nặng:,"Hoại tử cầu gan (bridging necrosis)",Viêm mạch hoại tử,Nang lao,Tế bào hình nhẫn,a
Hoại tử tế bào gan trong viêm gan cấp thường xảy ra ở:,Vùng quanh cửa,Trung tâm tiểu thùy gan,Mô liên kết quanh gan,Mô mỡ,b
Viêm gan siêu vi C mạn thường diễn tiến âm thầm và dễ gây:,Viêm túi mật,Gan nhiễm mỡ,Xơ gan và ung thư gan tế bào nhỏ,Viêm tụy,c
Định nghĩa xơ gan:,Viêm cấp gan,Thoái hóa mỡ nặng,Sự hình thành các dải xơ và nốt tái tạo gan,Tăng áp tĩnh mạch cửa,c
Mô học xơ gan cho thấy:,Viêm loét lan tỏa,Các nốt tế bào gan được bao quanh bởi mô xơ,Hoại tử trung tâm tiểu thùy,Dị sản ống mật,b
Nguyên nhân thường gặp nhất của xơ gan:,Nhiễm ký sinh trùng,Viêm tụy mạn,"Viêm gan virus B, C và nghiện rượu",Viêm túi mật,c
Loại xơ gan do rượu thường có đặc điểm:,Gan mềm và phồng,"Gan teo nhỏ, bề mặt hạt nhỏ đều",Mô gan tăng sinh lan tỏa,Tế bào Kupffer phì đại,b
Biến chứng nghiêm trọng của xơ gan:,Viêm đại tràng,Tắc mật,"Tăng áp lực tĩnh mạch cửa, cổ trướng, ung thư gan",Sỏi mật,c
Xơ gan mô học còn gọi là:,Viêm gan cấp,Gan sợi hóa,Gan nhiễm sắt,Gan mỡ,b
Nốt tái tạo ở xơ gan hình thành từ:,Tăng sinh ống mật,Tế bào Kupffer,Tăng sinh tế bào gan còn lại,Đại thực bào,c
Phân loại xơ gan dựa vào:,Mức độ đau,Nồng độ enzym gan,Kích thước nốt tái tạo,Lượng mỡ gan,c
Ung thư tế bào gan nguyên phát là:,Cholangiocarcinoma,Hepatocellular carcinoma (HCC),Sarcoma,Metastasis từ ruột,b
Yếu tố nguy cơ chính gây HCC:,"Nhiễm HBV, HCV, xơ gan",Sỏi mật,Rượu cấp,Nhiễm vi khuẩn HP,a
Đặc điểm mô học của HCC:,Tế bào hình tròn sắp xếp tuyến,"Tế bào gan dị dạng, bè tế bào dày >2 lớp",Tế bào cơ trơn,Tế bào hình nhẫn,b
Dấu hiệu mô học đặc trưng trong carcinôm ống mật:,Tuyến tăng sản và mô đệm xơ hóa mạnh,Bè tế bào,Tế bào gan hình thoi,Hoại tử dạng bã đậu,a
Cholangiocarcinoma thường xuất hiện ở:,Trong lòng ruột,Tế bào Kupffer,Biểu mô ống mật trong và ngoài gan,Đại tràng,c
Viêm túi mật cấp thường do:,Viêm tụy,Sỏi túi mật gây tắc ống cổ túi mật,Xơ gan,Rối loạn miễn dịch,b
Mô học của viêm túi mật cấp:,Thâm nhập lympho và tổ chức xơ,"Thấm nhập bạch cầu đa nhân trung tính, phù nề, xung huyết",U hạt,Dị sản ruột,b
Viêm đường mật thường là hậu quả của:,Tăng cholesterol,Vi khuẩn xâm nhập do tắc mật bởi sỏi,Tăng áp lực gan,Viêm gan siêu vi,b
Mô học trong viêm đường mật cho thấy:,Thấm nhập lympho và hoại tử ống mật,Loạn sản tế bào gan,Xơ hóa tiểu thùy,Hoại tử tế bào hình nhẫn,a
Sỏi mật hình thành chủ yếu do:,Thiếu canxi,Rối loạn chuyển hóa acid mật và cholesterol,Dị ứng thực phẩm,Nhiễm nấm,b
Sỏi sắc tố thường liên quan đến:,Thiếu máu,Nhiễm vi khuẩn và ký sinh trùng,Rượu,Tăng insulin,b
Biến chứng nguy hiểm của viêm đường mật:,Rối loạn đông máu,Viêm phúc mạc nhiễm trùng huyết,Thiếu máu,Viêm ruột,b
