câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Viêm ruột thừa cấp điển hình do:,Viêm gan,"Tắc nghẽn lòng ruột thừa (sỏi phân, tăng sản mô lympho)",Lao ruột,Nhiễm nấm,b
Viêm ruột thừa cấp có đặc điểm mô học:,Tế bào u hạt,Hoại tử dạng bã đậu,Thấm nhập bạch cầu đa nhân trung tính toàn bộ lớp thành ruột,Dị sản biểu mô,c
Biến chứng thường gặp của viêm ruột thừa không điều trị:,Xuất huyết,"Hoại tử, thủng, viêm phúc mạc",Thiếu máu,Hội chứng ruột kích thích,b
Tắc ruột cơ học thường do:,Thiếu máu,"U, dính ruột, xoắn ruột",Bệnh tim,Viêm gan,b
Tắc ruột gây thiếu máu cục bộ dẫn đến:,Viêm loét,Viêm ruột hoại tử,Viêm phế quản,Tắc mật,b
Biểu hiện mô học trong viêm ruột hoại tử:,Loạn sản,"Hoại tử toàn bộ thành ruột, viêm cấp, xuất huyết",Tăng sinh tuyến,Dị sản ruột,b
Lồng ruột là hiện tượng:,Khối u phát triển trong ruột,Một đoạn ruột chui vào lòng đoạn kế cận,Sỏi mật di chuyển,Viêm túi mật,b
Lồng ruột ở trẻ em thường do:,U tuyến,Tăng sản mô lympho,Sỏi phân,Tắc mạch,b
Lồng ruột không xử lý sớm có thể gây:,Xuất huyết tiêu hóa,Viêm gan,"Tắc ruột, thiếu máu cục bộ và hoại tử ruột",Viêm tụy,c
Viêm đại tràng do thiếu máu mô học cho thấy:,"Hoại tử biểu mô, xuất huyết niêm mạc, viêm nhẹ",U hạt,Tăng sản tuyến,Viêm bạch cầu ái toan,a
Viêm đại tràng giả mạc thường do:,Nhiễm Salmonella,Clostridium difficile,Virus EBV,Viêm gan,b
Mô học của viêm đại tràng giả mạc:,Dị sản biểu mô,"Màng giả gồm fibrin, bạch cầu, mảnh vụn hoại tử",Nang lao,Lắng đọng amyloid,b
Viêm đại tràng vi thể có thể chia thành:,Viêm đại tràng tăng sản và loạn sản,Viêm đại tràng collagen và lympho,Viêm đại tràng viêm loét,Viêm đại tràng nhiễm trùng,b
"Trong viêm đại tràng collagen, đặc điểm là:",Thấm nhập lympho biểu mô,Lắng đọng lớp collagen dưới biểu mô dày >10 micron,Hoại tử bã đậu,U hạt,b
Trong viêm đại tràng lympho:,Nhiều bạch cầu trung tính,Lắng đọng collagen,Lympho thấm nhập lớp biểu mô >20 tế bào/100 tế bào biểu mô,Mô xơ,c
Viêm loét đại tràng thường bắt đầu tại:,Hồi tràng,Manh tràng,Trực tràng,Hỗng tràng,c
Viêm loét đại tràng thường:,Tổn thương từng vùng,Liên tục không ngắt quãng,Tổn thương xen kẽ,Ảnh hưởng chủ yếu ruột non,b
Crohn có đặc điểm tổn thương:,Liên tục,Lan tỏa,Từng vùng xen kẽ (skip lesions),Khu trú trực tràng,c
Mô học Crohn đặc trưng với:,U hạt không hoại tử,Loét nông,Viêm lớp niêm,Tăng sản tuyến,a
Loét trong Crohn có thể:,Nông dọc theo niêm mạc,Ăn sâu xuyên thành ruột,Giới hạn ở biểu mô,Không loét,b
Mô học viêm loét đại tràng:,Loét sâu xuyên cơ,"Viêm mạn lớp niêm, loạn sản, không có u hạt",U hạt hoại tử,Viêm mạch,b
Biến chứng nguy hiểm của viêm loét đại tràng mạn:,Viêm tụy,Ung thư biểu mô tuyến đại tràng,Sỏi mật,Polyp viêm,b
Crohn có thể gây tổn thương ở:,Đại tràng,Ruột non,Bất kỳ phần nào ống tiêu hóa,Thực quản,c
Viêm loét đại tràng giới hạn ở:,Ruột non,Hồi manh tràng,Đại tràng và trực tràng,Dạ dày,c
Biến chứng đường rò thường gặp trong:,Viêm loét đại tràng,Crohn,Polyp đại tràng,Ung thư dạ dày,b
Polyp đại tràng tăng sản thường:,Có khả năng ác tính cao,"Không có loạn sản, nguy cơ rất thấp chuyển ung thư",Phát triển nhanh,Có hoại tử trung tâm,b
Polyp tuyến là:,Tăng sản cơ,Tổn thương tiền ung thư,Polyp viêm,Polyp cơ trơn,b
Phân loại polyp tuyến đại tràng gồm:,"Tuyến ống, nhánh và tuyến nang","Tuyến ống, nhánh và hỗn hợp","U xơ, u tuyến, u mỡ","Tuyến nhỏ, tuyến to, tuyến khổng lồ",b
Polyp tuyến ống thường:,Ác tính ngay từ đầu,"Chiếm tỷ lệ cao nhất, nguy cơ thấp hơn tuyến nhánh",Gây viêm,Có mô cơ,b
Polyp tuyến nhánh có đặc điểm:,"Nhỏ, mềm","Tế bào tuyến dạng nhánh, loạn sản nhiều hơn polyp ống",Không loạn sản,Không liên quan ung thư,b
Hội chứng polyp gia đình (FAP) liên quan đến đột biến:,p53,APC,KRAS,DCC,b
FAP nếu không phẫu thuật sớm sẽ dẫn đến:,Xơ gan,Ung thư đại tràng 100%,Viêm tụy mạn,Thiếu máu ác tính,b
Polyp viêm thường xuất hiện:,Trong viêm loét đại tràng mạn,Ung thư gan,Crohn sớm,Lao ruột,a
Mô học polyp viêm:,Tuyến loạn sản,"Mô viêm, niêm mạc tái tạo không đồng đều",Tế bào hình nhẫn,U hạt,b
Đặc điểm mô học giúp phân biệt polyp lành – ác:,Màu sắc đại thể,"Loạn sản biểu mô, rối loạn phân bào",Số lượng tế bào cơ,Mức độ hoại tử,b
Loại ung thư đại tràng phổ biến nhất:,Carcinôm tế bào vảy,Carcinôm tuyến (adenocarcinoma),Sarcoma,U lympho,b
Yếu tố nguy cơ chính của ung thư đại tràng:,Viêm gan B,"Polyp tuyến, viêm loét đại tràng, FAP",Viêm ruột thừa,Viêm tụy mạn,b
Ung thư đại tràng thường phát sinh từ:,Mô liên kết,Tế bào lympho,Polyp tuyến có loạn sản,Dị sản vảy,c
Triệu chứng sớm của ung thư đại tràng:,Đau ngực,"Táo bón, đi ngoài ra máu, mệt mỏi",Vàng da,Khó nuốt,b
Đột biến gen phổ biến trong ung thư đại tràng:,ALK,"APC, KRAS, p53",BRAF,RAS,b
Đặc điểm mô học của carcinôm tuyến:,Không tạo tuyến,"Tạo tuyến bất thường, xâm nhập mô đệm",Tế bào cơ trơn tăng sinh,Mạch máu giãn rộng,b
Giai đoạn sớm của ung thư đại tràng:,Viêm mạn,Carcinoma tại chỗ (in situ),U tuyến,Nang tuyến,b
Ung thư đại tràng bên phải thường gây:,Táo bón,"Thiếu máu, khối u không đau",Tắc nghẽn cấp,Viêm tụy,b
Ung thư bên trái đại tràng thường:,Gây tiêu chảy nặng,"Tắc ruột sớm, thay đổi thói quen đại tiện",Không có triệu chứng,Hoại tử gan,b
Hình ảnh "ruột bút chì" trên Xquang gợi ý:,Viêm ruột thừa,Ung thư đại tràng bên trái,Polyp nhỏ,Tắc tá tràng,b
Di căn thường gặp nhất của ung thư đại tràng:,Gan,Não,Phổi,Thận,a
Phân biệt mô học ung thư tuyến biệt hóa tốt:,Không tạo tuyến,"Tạo tuyến rõ, xâm nhập mô đệm",Tạo nang,Biểu mô lát,b
Ung thư tuyến biệt hóa kém:,Tế bào sắp xếp tuyến chặt,"Ít tạo tuyến, tế bào dị dạng rõ",Không xâm nhập,Không loạn sản,b
Xét nghiệm sàng lọc ung thư đại tràng phổ biến:,AFP,FOBT (test máu ẩn trong phân),CA125,Xét nghiệm đông máu,b
Phương pháp chẩn đoán xác định:,Siêu âm,Xét nghiệm máu,Nội soi đại tràng + sinh thiết mô học,Xquang,c
