câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Nguyên nhân chính gây phù nề trong suy tim sung huyết là gì?,Giảm albumin máu,Tăng áp lực thủy tĩnh,Giảm bạch cầu,Mất nước,b
Phù toàn thân (anasarca) thường liên quan đến tình trạng nào sau đây?,Suy dinh dưỡng,Hội chứng thận hư,Xơ gan,Tất cả các đáp án trên,d
Tắc nghẽn bạch huyết có thể dẫn đến phù nề do:,Tăng áp lực thủy tĩnh,Giảm áp lực thẩm thấu huyết tương,Rối loạn chức năng nội mô,Giảm dẫn lưu dịch gian bào,d
Giữ natri và nước trong cơ thể góp phần gây phù nề bằng cách nào?,Giảm thể tích máu,Giảm áp lực thủy tĩnh,Tăng áp lực thẩm thấu huyết tương,Tăng áp lực thủy tĩnh và giảm áp lực thẩm thấu huyết tương,d
Phù do suy tim sung huyết thường có đặc điểm nào?,Phù khu trú,Phù đối xứng ở chi dưới,Phù không có dấu ấn lõm,Phù ở vùng mặt và mí mắt,b
Sung huyết động xảy ra khi nào?,Giãn nở tiểu động mạch,Giảm dòng máu tĩnh mạch,Thiếu oxy mô,Tắc nghẽn bạch huyết,a
"Trong sung huyết động, mô thường có màu gì?",Đỏ tươi,Xanh tím,Nhợt nhạt,Đen sẫm,a
Sung huyết tĩnh có đặc điểm nào sau đây?,Quá trình chủ động,Do tắc nghẽn hồi lưu tĩnh mạch,Gây giãn nở động mạch,Mô có màu đỏ tươi,b
"""Gan hạt cau"" là hậu quả của?",Sung huyết tĩnh phổi,Sung huyết động,Sung huyết tĩnh gan mạn tính,Tắc nghẽn bạch huyết,c
"Trong sung huyết phổi mạn tính, đặc điểm mô học đặc trưng là?",Xơ hóa mô phổi,"""Tế bào suy tim"" chứa hemosiderin",Giãn nở tiểu động mạch,Huyết khối trong phế nang,b
Tiểu cầu đóng vai trò quan trọng nhất trong giai đoạn nào của quá trình cầm máu?,Cầm máu sơ cấp,Cầm máu thứ cấp,Tiêu fibrin,Tan cục máu đông,a
Yếu tố đông máu nào có vai trò quan trọng trong quá trình hình thành fibrin?,Yếu tố VIII,Yếu tố IX,Yếu tố X,Yếu tố XIII,d
Hemophilia A là do thiếu hụt yếu tố đông máu nào?,Yếu tố VII,Yếu tố VIII,Yếu tố IX,Yếu tố XIII,b
Bệnh Von Willebrand liên quan đến bất thường của?,Tiểu cầu,Fibrinogen,Yếu tố Von Willebrand,Yếu tố X,c
DIC là một tình trạng trong đó?,Hình thành huyết khối lan rộng,Giảm tiêu fibrin,Giảm tạo yếu tố đông máu,Rối loạn chức năng gan,a
Thành phần chính của huyết khối là?,Tiểu cầu và fibrin,Albumin,Hemoglobin,Chất béo,a
Huyết khối tĩnh mạch sâu (DVT) có nguy cơ cao dẫn đến?,Nhồi máu cơ tim,Thuyên tắc phổi,Đột quỵ não,Xuất huyết nội sọ,b
Tình trạng nào sau đây có thể gây ra thuyên tắc khí?,Gãy xương dài,Chấn thương phổi,Phẫu thuật tim hở,Tất cả các đáp án trên,d
"Trong bệnh lý nào sau đây, thuyên tắc mỡ thường gặp nhất?",Viêm tụy cấp,Nhồi máu phổi,Gãy xương dài,Nhồi máu não,c
Thuyên tắc nước ối xảy ra trong?,Chấn thương sọ não,Thai kỳ,Viêm phổi,Phẫu thuật ruột,b
Nguyên nhân phổ biến nhất của sốc nhiễm trùng là?,Vi khuẩn Gram dương,Vi khuẩn Gram âm,Nấm,Virus,a
Giai đoạn nào của sốc có thể hồi phục hoàn toàn nếu được điều trị?,Giai đoạn không tiến triển,Giai đoạn tiến triển,Giai đoạn không thể hồi phục,Không giai đoạn nào,a
"Trong sốc nhiễm trùng, yếu tố nào góp phần gây giãn mạch?",TNF-α và IL-1,Hemoglobin,Yếu tố VIII,Haptoglobin,a
Cơ quan nào dễ bị tổn thương nhất trong sốc?,Gan,Thận,Não,Tất cả các đáp án trên,d
Nguyên nhân phổ biến nhất gây nhồi máu cơ tim là?,Huyết khối động mạch vành,Thuyên tắc phổi,Hạ huyết áp,Bệnh viêm cơ tim,a
Nhồi máu trắng thường gặp ở cơ quan nào sau đây?,Phổi,Ruột,Thận,Cơ vân,c
Nhồi máu đỏ thường xảy ra khi nào?,Ở mô có tuần hoàn kép,Ở mô thiếu oxy hoàn toàn,Khi huyết áp giảm,Trong tình trạng tăng đông máu,a
Xét nghiệm nào thường được sử dụng để đánh giá nguy cơ huyết khối?,D-dimer,CRP (C-reactive protein),Hemoglobin,Bilirubin,a
"Trong điều trị DIC, mục tiêu quan trọng nhất là?",Truyền tiểu cầu ngay lập tức,Điều trị nguyên nhân gây DIC,Giảm sản xuất fibrinogen,Kích hoạt đông máu thêm,b
"Trong bệnh lý huyết khối, thuốc nào thường được sử dụng để dự phòng và điều trị?",Aspirin,Heparin,Warfarin,Tất cả các đáp án trên,d
