câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Biểu hiện lâm sàng nào sau đây là gợi ý bệnh nội tiết có liên quan đến sự tăng trưởng:,Tăng cân,Mệt mỏi,Rối loạn sinh dục,Lùn,d
"Béo phì tập trung ở vùng mặt cổ, thượng đòn là biểu hiện điển hình:",Suy vỏ thượng thận,Hội chứng cushing,Suy giáp,Đái tháo đường,b
Sạm da là triệu chứng chính của bệnh lý:,Suy vỏ thượng thận nguyên phát,Suy vỏ thượng thận thứ phát,Suy tuyến yên,Suy giáp,a
Hạ huyết áp là một trong các triệu chứng chính của:,Suy giáp,Suy vỏ thượng thận,Suy tuyến yên,Suy tuyến cận giáp,b
"Theo phân độ của WHO, bướu giáp to độ Ib là:",Bướu to nhìn thấy ở tư thế bình thường,Sờ thấy bướu giáp nhưng không nhìn thấy ở tư thế ngửa cổ tối đa,Tuyến giáp to sờ thấy và nhìn thấy ở tư thế ngửa cổ tối đa,Bướu giáp rất to nhìn thấy từ xa,b
Triệu chứng run tay trong bệnh lý cường giáp có đặc điểm:,Thường xuất hiện ở đầu ngón tay với biên độ lớn,"Tần số nhanh, biên độ nhỏ, run đều ở đầu ngón tay",Thường xuất hiện ở đầu ngón tay và bàn tay với biên độ lớn,Run tay không thường xuyên,b
"Gầy, sụt cân là triệu chứng thường gặp, chọn câu SAI:",Đái tháo đường,Cường giáp,Suy vỏ thượng thận mãn tính nguyên phát,Hội chứng Cushing,d
"Biểu hiện nóng, khó chịu, da nóng ấm gợi ý:",Suy giáp,Hạ đường huyết,Suy thượng thận,Cường giáp,d
"Uống nhiều, tiểu nhiều thường gặp trong bệnh lý:",Đái tháo đường,Đái tháo nhạt,Cường giáp,Cả 3 câu trên đều đúng,d
Tăng huyết áp thứ phát thường gặp trong bệnh nội tiết:,Suy giáp,Addison,Đái tháo đường,Cường tủy thượng thận,d
Chẩn đoán hạ huyết áp tư thế khi:,Huyết áp tâm thu giảm > 10mHg và/ hoặc huyết áp tâm trương giảm > 10mmHg,Huyết áp tâm thu giảm > 20mHg và/ hoặc huyết áp tâm trương giảm >10mmHg,Huyết áp tâm thu giảm > 30mHg và/ hoặc huyết áp tâm trương giảm > 10mmHg,Huyết áp tâm thu giảm > 30mHg và/ hoặc huyết áp tâm trương giảm > 20mmHg,b
"Bệnh nhân nữ 60 tuổi có vẻ mặt buồn bã, thờ ơ với ngoại cảnh, ăn uống kém nhưng tăng cân. Những biểu hiện trên gợi ý bệnh cảnh của:",Hội chứng cường giáp,Hội chứng cường thượng thận,Hội chứng suy giáp,Hội chứng suy tuyến yên,c
"Tình trạng bệnh lý gây ra rối loạn nội tiết tại tuyến giáp, CHỌN CÂU SAI:",Bệnh Basedow,Phình giáp,Nhân giáp độc,U tuyến yên,b
"Bệnh nhân nữ 30 tuổi, vào viện vì hồi hộp đánh trống ngực. Khoảng 1 tháng nay bệnh nhân ăn nhiều, mau đói, sụt 3 kg, hay nóng nảy. Thăm khám ghi nhận mạch 110 lần/phút, tuyến giáp to độ II, lan tỏa, mật độ mềm, không đau. Triệu chứng lâm sàng trên gợi ý bệnh cảnh của:",Hội chứng suy giáp,Hội chứng cường giáp,Hội chứng cường vỏ thượng thận,Hội chứng suy tuyến yên,b
"Để chẩn đoán xác định bệnh lý tuyến giáp, cần kết hợp:",Chỉ cần dựa vào triệu chứng lâm sàng là đủ,Chỉ cần xét nghiệm là đủ,Dựa chủ yếu vào triệu chứng cơ năng,Dựa vào triệu chứng lâm sàng và cận lâm sàng,d
Cận lâm sàng thường dùng để xác chức năng tuyến giáp:,Định lượng iod trong máu,Đo chuyển hoá cơ bản,"Định lượng FT3, FT4, TSH trong máu",Nghiệm pháp Werner,c
"Cận lâm sàng xác định hình thái tuyến giáp, CHỌN CÂU SAI:",Siêu âm tuyến giáp,Xạ hình tuyến giáp,Sinh thiết tuyến giáp,Chụp cắt lớp vi tính (CT scan),c
"Cận lâm sàng xác định nguyên nhân bệnh tuyến giáp, CHỌN CÂU SAI:",Các kháng thể kháng giáp,Siêu âm Doppler tuyến giáp,Chọc hút tế bào bằng kim nhỏ,Sinh thiết tuyến giáp,b
"Kháng thể để chẩn đoán bệnh lý tuyến giáp, chọn câu SAI:",Kháng thể GAD,Kháng thể TPO,Kháng thể TSI,Kháng thể TGI,a
Thăm dò tuyến nội tiết chủ yếu là:,Thăm dò chức năng,Thăm dò hình thái,Thăm dò cấu trúc,Xét nghiệm thường qui,a
Thăm dò động nhằm mục đích:,Tình trạng bệnh lý,Mức độ tổn thương,Vị trí tổn thương,Nguyên nhân,c
Hormon không phải do tuyến yên tiết ra:,GH,ACTH,TSH,TRH,d
"Định lượng hormon tuyến giáp, chọn câu SAI:","T3, T4 là hormon do tuyến giáp tiết ra",TSH là hormon do tuyến yên tiết ra,"T3, T4 trong máu đa số ở dạng tự do, rất ít ở dạng kết hợp","T3, T4 có hoạt tính sinh học khi ở dạng tự do",c
"Trong suy giáp nguyên phát (tại tuyến giáp), kết quả xét nghiệm hormon:","FT4 bình thường, TSH giảm","FT4 giảm, TSH giảm","FT4 giảm, TSH tăng","FT4 tăng, TSH giảm",c
"Trong cường giáp thứ phát (tại tuyến yên), kết quả xét nghiệm hormon:","FT4 bình thường, TSH giảm","FT4 giảm, TSH giảm","FT4 giảm, TSH tăng","FT4 tăng, TSH tăng",d
