câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Viêm dạ dày cấp thường do nguyên nhân:,Thiếu máu,Tăng huyết áp,"Rượu, NSAIDs, stress nặng",Sỏi mật,c
Tổn thương mô học đặc trưng trong viêm dạ dày cấp:,Hoại tử bã đậu,Tăng sản tuyến đáy,"Phù nề, sung huyết, thấm nhập bạch cầu trung tính",Tăng mô cơ,c
Viêm dạ dày mạn type A liên quan đến:,Nhiễm H. pylori,Tự miễn chống tế bào thành dạ dày,Vi rút,Tăng acid,b
Viêm dạ dày mạn type B phổ biến nhất do:,Stress,Rượu,H. pylori,Tự miễn,c
Viêm dạ dày mạn có nguy cơ dẫn đến:,Viêm túi mật,Tăng huyết áp,"Dị sản ruột, loạn sản, ung thư dạ dày",Polyp đại tràng,c
Dấu hiệu mô học của viêm mạn:,Bạch cầu ái toan,Bạch cầu đa nhân trung tính,"Tế bào lympho, tương bào, mất tuyến",U hạt không hoại tử,c
"Trong viêm dạ dày do H. pylori, vi khuẩn nằm ở:",Trong nhân tế bào,Giữa lớp cơ niêm,"Trên bề mặt niêm mạc, xen giữa chất nhầy",Trong lòng mạch,c
Một đặc điểm mô học gợi ý viêm dạ dày tự miễn:,Dị sản ruột ở vùng môn vị,Mất tuyến đáy thân vị,Tuyến đáy tăng sinh,Nhiều bạch cầu ái kiềm,b
Loại tế bào bị phá huỷ trong viêm dạ dày type A:,Tế bào chính,Tế bào G,Tế bào thành,Tế bào ưa bạc,c
Dị sản ruột là:,Chuyển sản tuyến nhầy sang biểu mô trụ tiết chất nhầy ruột,Tăng sản cơ,Dị sản vảy,Loạn sản mô liên kết,a
Viêm dạ dày có loét nông thường gặp ở:,Người không triệu chứng,"Người bị stress nặng, sốc, bỏng",Trẻ nhỏ,Bệnh nhân đái tháo đường,b
Phân biệt viêm cấp và viêm mạn dựa vào:,Loại tế bào viêm xâm nhập,Lượng dịch tiết,Vị trí tổn thương,Dấu hiệu lâm sàng,a
Hậu quả dài hạn của viêm dạ dày tự miễn là:,U tuyến tuyến Barrett,Thiếu máu ác tính do giảm hấp thu vitamin B12,Tăng tiết acid,Tăng hấp thu sắt,b
Viêm dạ dày mạn vùng thân vị thường dẫn đến:,Viêm tụy,Dị sản ruột,Hội chứng Zollinger-Ellison,Trào ngược dạ dày,b
Viêm dạ dày mạn có thể dẫn đến biến đổi nào nguy hiểm?,Viêm ruột thừa,Thoát vị hoành,Carcinôm tuyến dạ dày,Giảm tiết insulin,c
Loét dạ dày là:,Viêm dạ dày lan tỏa,Mất lớp niêm mạc xuyên qua lớp cơ niêm,Phình giãn lòng dạ dày,Viêm cấp,b
Nguyên nhân chủ yếu gây loét dạ dày:,Tăng áp lực máu,H. pylori và NSAIDs,Rượu mạnh,Stress cấp,b
Tổn thương mô học điển hình trong loét:,Loét nông dừng ở biểu mô,Mất cấu trúc niêm mạc + tổ chức hạt + mô xơ + viêm mạn,Dị sản tuyến,U hạt,b
Vị trí loét dạ dày hay gặp nhất:,Vùng đáy vị,Mặt trước bờ cong nhỏ vùng thân vị gần môn vị,Bờ cong lớn,Vùng tâm vị,b
Lớp nào bị tổn thương sâu nhất trong loét điển hình:,Lớp niêm mạc,Lớp dưới niêm,Lớp cơ,"Qua cả lớp cơ, tới thanh mạc",d
