câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Cơ chế chính của phì đại tế bào là gì?,Giảm tổng hợp protein,Tăng phân hủy protein,Gia tăng sản xuất protein và bào quan,Thay thế tế bào chết bằng tế bào mới,c
Tăng sản sinh lý của tuyến vú xảy ra trong tình huống nào?,Dậy thì,Mãn kinh,Hút thuốc lá kéo dài,Thiếu oxy mô,a
Chuyển sản biểu mô trụ thành biểu mô vảy thường gặp trong tình trạng nào?,Hút thuốc lá mạn tính,Tiểu đường,Viêm gan siêu vi,Bệnh gút,a
Teo cơ do bất động lâu dài là do?,Giảm kích thước tế bào,Tăng số lượng tế bào,Hoại tử tế bào,Đột biến gen,a
"Trong số các thay đổi thích nghi của tế bào, thay đổi nào có thể dẫn đến ung thư nếu kéo dài?",Phì đại,Tăng sản,Teo,Chuyển sản,d
Tổn thương tế bào có thể hồi phục xảy ra khi?,Tế bào tiếp tục phân chia không kiểm soát,Tế bào có thể phục hồi sau khi yếu tố gây stress được loại bỏ,Tế bào chết ngay lập tức,Hoại tử tế bào,b
Dấu hiệu sớm nhất của tổn thương tế bào có thể hồi phục là?,Mất nhân tế bào,Tích tụ lipid,"Phù tế bào do rối loạn bơm Na+/K+",Hoại tử đông,c
Tích tụ lipid trong tế bào thường gặp nhất ở cơ quan nào?,Phổi,Gan,Thận,Tim,b
"Nguyên nhân chính của phù tế bào trong tổn thương có thể hồi phục là?",Rối loạn bơm Na+/K+ ATPase,Hoạt hóa quá mức lysosome,Đột biến ADN,Hoạt hóa quá mức enzym protease,a
Thiếu ATP trong tế bào sẽ ảnh hưởng đến?,Chuyển hóa lipid,Cân bằng ion và nước,Tổng hợp ADN,Sự biệt hóa tế bào,b
Tổn thương không hồi phục dẫn đến?,Teo cơ,Hoại tử hoặc apoptosis,Phì đại,Tăng sản,b
Hoại tử khác apoptosis ở điểm nào?,Hoại tử là quá trình có kiểm soát,Apoptosis luôn gây viêm,"Hoại tử gây viêm còn apoptosis thì không",Apoptosis không liên quan đến ty thể,c
Loại hoại tử phổ biến trong nhồi máu cơ tim là?,Hoại tử đông,Hoại tử lỏng,Hoại tử mỡ,Hoại tử hoại thư,a
Apoptosis đóng vai trò quan trọng trong?,Quá trình viêm cấp tính,Phát triển phôi thai,Hình thành hoại tử đông,Sự lan rộng của tế bào ung thư,b
"Đặc điểm của apoptosis là?",Gây phản ứng viêm mạnh,"Tế bào co lại và hình thành thể apoptotic",Màng tế bào bị phá vỡ ngay lập tức,Xảy ra do tổn thương cấp tính nghiêm trọng,b
Thiếu máu cục bộ gây tổn thương tế bào chủ yếu do?,Giảm sản xuất ATP,Rối loạn tổng hợp ADN,Tăng tổng hợp protein,Giảm hấp thu glucose,a
Tổn thương do tái tưới máu gây ra bởi?,Thiếu oxy kéo dài,Sản xuất quá mức gốc tự do ROS,Giảm phân hủy protein,Hoạt hóa quá mức ty thể,b
"Ứng dụng quan trọng của apoptosis trong điều trị ung thư là gì?",Ức chế quá trình apoptosis,Kích thích apoptosis để tiêu diệt tế bào ung thư,Gây hoại tử tế bào ung thư,Ức chế miễn dịch để giảm viêm,b
Quá liều acetaminophen gây tổn thương tế bào theo cơ chế nào?,Gây tổn thương ADN trực tiếp,"Tạo ra chất trung gian độc hại làm cạn kiệt glutathione",Hoạt hóa quá mức apoptosis,Làm mất protein màng tế bào,b
"Trong bệnh Alzheimer, apoptosis bất thường có thể dẫn đến?",Tăng sinh tế bào thần kinh,Mất tế bào thần kinh,Giảm sản xuất amyloid-beta,Tăng myelin hóa,b
What is the primary cause of telomere shortening?,Increased ATP production,Repeated cell division,Activation of lysosomes,Overexpression of growth factors,b
Which enzyme maintains telomere length in stem cells?,DNA polymerase,RNA polymerase,Telomerase,Caspase-3,c
Cellular autophagy is primarily triggered by:,DNA mutations,Nutrient depletion,Uncontrolled cell division,Excessive ATP levels,b
What is a key function of autophagy in neurodegenerative diseases?,Promoting apoptosis,Accumulating misfolded proteins,Removing damaged organelles,Increasing glucose uptake,c
"Reactive oxygen species (ROS) primarily cause cellular damage by:",Increasing DNA replication,"Oxidizing lipids, proteins, and DNA",Enhancing protein synthesis,Decreasing calcium levels,b
Which antioxidant enzyme neutralizes hydrogen peroxide?,Superoxide dismutase,Catalase,Phospholipase,Kinase,b
"In ischemia-reperfusion injury, which mechanism contributes most to cell damage?",Increased blood flow,Depletion of glucose,Overproduction of ROS,Decreased ATP synthesis,c
"A smoker develops squamous metaplasia in the respiratory epithelium. This adaptation is an example of:",Atrophy,Hyperplasia,Metaplasia,Dysplasia,c
"A patient with myocardial infarction presents with coagulative necrosis. What is the main reason for this type of necrosis?",Lysosomal enzyme release,Ischemia leading to protein denaturation,Bacterial infection,Autoimmune response,b
"In cancer therapy, drugs that induce apoptosis in cancer cells mainly target which protein?",p53,Actin,Myosin,Hemoglobin,a
