câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Polyp có trong cố tử cung thường xuất hiện ở:,Trẻ em,Phụ nữ sau mãn kinh,Nam giới,Phụ nữ tuổi sinh sản,d
Polyp có trong cố tử cung là:,Ung thư tuyến,Tổn thương giả ư,U ác tính,Tổn thương hoại từ,b
Biểu mô phủ bề mặt polyp có trong là:,Biểu mô lát tầng không sừng hóa,Biểu mô trụ đơn tiết nhầy,Biểu mô chuyên sản gai,Biểu mô dị sản,b
Kích thước điển hình của polyp có trong thường:,>5cm,<3cm,5-7cm,3-5cm,b
Vị thế mô đếm polyp thường có đặc điểm:,Teo dét không mạch máu,Giâu tương báo,Phù nề sung huyết,Có bạch cầu da nhân,c
Biểu hiện lâm sàng của polyp có tử cung thường là:,Không triệu chứng,Sốt,Xuất huyết âm đạo,Đau khi giao hợp,c
Đặc điểm đại thể của polyp:,Khối xú xi màu nâu sâm,Dạng loét nông,Khối tròn màu hồng nhạt trong lắng,Khối dẹt hoại từ,c
Loại biểu mô có thể thấy chuyên sản trong polyp:,Biểu mô lát tầng gai,Biểu mô giả tầng,Biểu mô tiết nhầy,Biểu mô gai chuyên sản,d
Phản ứng viêm kèm theo polyp là nguyên nhân gây:,Loạn sản biểu mô,Giãn rộng mạch máu,Tăng sinh tuyến,Dị sản nhẹ,b
Polyp có trong cố tử cung thuộc loại:,U ác tính thường gặp,Tổn thương giả ư,Ung thư tuyến có trong,Tổn thương tiền ung,b
Condyloma có tử cung do nhiễm:,HPV type 16 18,HPV type 6 11,EBV,HSV,b
Condyloma có tử cung là:,Tổn thương tiền ung thư,U ác tính,U lành tính,Tổn thương viêm,c
Dạng đại thể của condyloma:,Loét nông,Dạng sui hoặc phẳng,U đặc,Khối xơ hoá,b
Đặc điểm mô học đặc trưng cho nhiễm HPV:,Tế bào koilocyte,Tế bào dạng tuyến,Tế bào hoại từ,Tế bào dạng gai,a
Condyloma có thể tiến triển thành ung thư khi:,Nhiễm HPV type thấp nguy hiểm,Động nhiễm HPV nguy cơ cao,Nhiễm virus EBV,Bệnh lý miễn dịch,b
CIN là:,Ung thư cổ tử cung,Loạn sản tế bào tuyến,Tổn thương tiền ung thư,U lành tính cổ tử cung,c
CIN có liên quan chặt chẽ đến nhiễm:,HSV,HPV nguy cơ cao,EBV,H. pylori,b
CIN I là:,Loạn sản nhẹ giới hạn 1/3 dưới biểu mô,Loạn sản toàn bộ biểu mô,Loạn sản tuyến,Ung thư biểu mô tại chổ,a
Đặc điểm mô học của CIN II:,Loạn sản nhẹ,Loạn sản vừa tổn thương đến 2/3 chiều dày biểu mô,Không có bất thường tế bào,Biểu mô tuyến bị đảo lộn,b
CIN III còn được gọi là:,Carcinoma tuyến,CIN độ I,Carcinoma tại chổ,Carcinoma xâm lấn,c
