câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Nhịp tim bình thường ở người trưởng thành là:,40-60 nhịp/phút,60-100 nhịp/phút,100-120 nhịp/phút,120-140 nhịp/phút,b
Huyết áp bình thường ở người lớn là:,<120/80 mmHg,<140/90 mmHg,<160/100 mmHg,<180/110 mmHg,a
Triệu chứng nào sau đây không phải là triệu chứng của suy tim:,Khó thở,Phù chi,Gan to,Ho khan kéo dài,d
Đau thắt ngực điển hình thường xuất hiện khi:,Gắng sức,Nghỉ ngơi,Ăn no,Ban đêm,a
ECG trong nhồi máu cơ tim cấp có biểu hiện nào sau đây:,Sóng T đảo ngược,ST chênh lên,Xuất hiện sóng Q bệnh lý,Tất cả đều đúng,d
Yếu tố nguy cơ nào sau đây không liên quan đến bệnh mạch vành:,Hút thuốc lá,Tăng huyết áp,Đái tháo đường,Thiếu máu,d
Rối loạn nhịp tim thường gặp nhất là:,Nhịp nhanh xoang,Rung nhĩ,Cuồng nhĩ,Ngoại tâm thu,d
Thuốc nào sau đây được dùng để điều trị tăng huyết áp:,Aspirin,Metformin,Enalapril,Paracetamol,c
Triệu chứng nào sau đây gợi ý bệnh van tim:,Tiếng thổi tim,Đau ngực,Khó thở,Tất cả đều đúng,d
Nguyên nhân thường gặp nhất của suy tim mạn là:,Tăng huyết áp,Bệnh van tim,Bệnh cơ tim,Nhồi máu cơ tim cũ,a
