câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Dấu hiệu mô học đặc trưng nhất của viêm giáp Hashimoto:,Áp xe hóa,Nang vỡ,Thâm nhiễm lympho và tế bào Hurthle,Biệt hóa gai,c
Nguyên nhân chính gây phù nề trong suy tim sung huyết là gì?,Giảm albumin máu,Tăng áp lực thủy tĩnh,Giảm bạch cầu,Mất nước,b
Kỹ thuật nào giúp phát hiện vi khuẩn trong mẫu bệnh phẩm?,PCR,Cấy vi khuẩn,Nhuộm Gram,"Cả A, B và C",d
Di căn thường gặp nhất của ung thư đại tràng:,Gan,Não,Phổi,Thận,a
Tổn thương mô học đặc trưng trong viêm phế quản mạn:,Viêm mô kẽ lan tỏa,"Tăng sản tuyến nhầy, thâm nhiễm viêm mãn tính",Viêm tấy hoại tử,Phù mô kẽ,b
Viêm đường mật thường là hậu quả của:,Tăng cholesterol,Vi khuẩn xâm nhập do tắc mật bởi sỏi,Tăng áp lực gan,Viêm gan siêu vi,b
Thuốc ức chế điểm kiểm soát miễn dịch (immune checkpoint inhibitors) hoạt động bằng cách nào?,Ngăn chặn sự ức chế của tế bào T,Kích thích tế bào ung thư tự chết,Phá hủy mạch máu nuôi khối u,Giảm sự tăng sinh tế bào ung thư,a
HPV type nguy cơ cao phổ biến nhất là:,6 và 11,42 và 44,16 và 18,1 và 2,c
Trastuzumab được sử dụng trong điều trị ung thư vú có đặc điểm nào?,ER dương tính,PR âm tính,HER2 dương tính,Triple-negative,c
Hóa trị nào thường dùng cho u tế bào mầm ác tính?,BEP (Bleomycin - Etoposide - Cisplatin),CHOP,FOLFIRI,Tamoxifen,a
Chỉ số nào thường tăng cao trong hội chứng thực bào lymphô-histiocyte máu (HLH)?,Ferritin,Albumin,Canxi,Bạch cầu đa nhân trung tính,a
Apoptosis đóng vai trò quan trọng trong?,Quá trình viêm cấp tính,Phát triển phôi thai,Hình thành hoại tử đông,Sự lan rộng của tế bào ung thư,b
Loại ung thư dạ dày có liên quan đến viêm teo và dị sản ruột:,Carcinôm tuyến dạng ruột,Carcinôm tế bào vảy,Lymphoma,Sarcoma,a
Màu sắc tuyến giáp trong đại thể phình giáp đơn thuần là:,Xám bạc,Vàng nhạt,Nâu đồng đều hoặc loang lổ,Trắng xám,c
