"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Triệu chứng nào sau đây là triệu chứng của đái tháo đường:","Khát nhiều","Tiểu nhiều","Ăn nhiều","Tất cả đều đúng","d"
"Đường huyết lúc đói ≥ bao nhiêu được chẩn đoán đái tháo đường:","≥5.6 mmol/L","≥6.1 mmol/L","≥7.0 mmol/L","≥11.1 mmol/L","c"
"Biến chứng cấp tính nguy hiểm nhất của đái tháo đường là:","Nhiễm trùng","Hạ đường huyết","Hôn mê ceton","Cả b và c","d"
"Triệu chứng nào sau đây gợi ý cường giáp:","Gầy sút cân","Run tay","Mắt lồi","Tất cả đều đúng","d"
"Xét nghiệm nào sau đây quan trọng nhất để chẩn đoán cường giáp:","TSH","FT4","FT3","Cả a và b","d"
"Suy giáp có biểu hiện nào sau đây:","Mệt mỏi","Tăng cân","Rụng tóc","Tất cả đều đúng","d"
"HbA1c phản ánh đường huyết trong thời gian:","1 tháng","2-3 tháng","6 tháng","1 năm","b"
"Biến chứng mạn tính của đái tháo đường bao gồm:","Bệnh thận","Bệnh mắt","Bệnh thần kinh","Tất cả đều đúng","d"
"Mục tiêu điều trị HbA1c ở bệnh nhân đái tháo đường là:","<6.5%","<7%","<8%","<9%","b"
"Thuốc hạ đường huyết đầu tay trong đái tháo đường type 2 là:","Insulin","Metformin","Sulfonylurea","Glinid","b"
